time,open,high,low,close,volume,note
2018-01-02,17.4300,17.5400,17.1300,17.3200,28846694,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-01-03,17.4200,17.9500,17.2400,17.7000,46329730,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-01-04,17.7000,17.7900,17.3800,17.5800,37676866,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-01-05,17.5500,17.5600,17.2400,17.3000,28103550,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-01-08,17.4400,17.4400,16.7100,16.8300,45528406,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-01-09,16.8100,16.9900,16.7300,16.9400,26263009,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-01-10,16.9400,17.0800,16.5900,16.7000,27316823,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-01-11,16.7000,17.0300,16.6000,17.0200,31339042,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-01-12,17.0000,17.0100,16.6600,16.6800,24695692,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-01-15,16.6600,16.7500,16.1200,16.3400,28832617,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-01-16,16.3000,16.3000,15.6200,15.7800,46991501,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-01-17,15.7800,16.3900,15.4300,16.1900,44004930,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-01-18,16.0800,16.2800,15.9000,16.0000,29851780,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-01-19,16.0600,16.2300,15.9000,16.2100,29814638,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-01-22,16.1500,16.4500,15.8400,16.2100,35370099,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-01-23,16.2100,16.2900,15.8500,15.8700,33931312,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-01-24,15.8500,16.1400,15.5300,16.0700,36813761,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-01-25,16.1100,16.3800,15.9500,16.1600,32251253,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-01-26,16.1500,16.1600,15.7300,15.7600,46469164,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-01-29,15.7400,15.7500,14.8900,14.9000,73152535,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-01-30,14.8000,15.0200,14.6500,14.7600,31626258,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-01-31,14.6500,14.6800,13.7800,14.0000,65686864,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-02-01,13.8300,14.1900,13.8000,14.0100,32266815,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-02-02,14.0200,14.5000,13.9800,14.5000,43909092,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-02-05,14.2200,14.3400,13.8000,13.8400,49015641,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-02-06,13.3300,13.5900,13.0400,13.3100,46970519,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-02-07,13.6000,13.6400,12.9800,13.0800,41942168,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-02-08,12.8800,13.4700,12.8500,13.4000,31959252,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-02-09,12.9900,13.2900,12.8100,13.0200,40094383,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-02-12,13.1800,13.4500,13.1000,13.4000,33416920,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-02-13,13.5700,13.6800,13.3200,13.4200,28350118,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-02-14,13.4100,13.4700,13.1000,13.1500,21241368,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-02-22,13.3800,13.8700,13.3000,13.8700,34658815,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-02-23,13.8600,13.9600,13.5800,13.7000,28143968,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-02-26,13.8600,15.0700,13.7700,14.9300,89613379,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-02-27,15.0500,15.6600,14.9300,15.2500,95081290,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-02-28,15.0700,15.7000,15.0100,15.5600,63526979,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-03-01,15.4000,15.8500,15.3300,15.6400,62511346,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-03-02,15.4800,15.6400,15.0900,15.1500,48497036,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-03-05,15.2700,15.3500,15.0600,15.2800,34520761,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-03-06,15.4000,15.6600,15.1800,15.4800,54409434,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-03-07,15.5000,15.5000,15.1000,15.1400,28367248,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-03-08,15.1100,15.1200,14.6800,14.8900,52271742,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-03-09,14.8900,15.6600,14.8200,15.6100,73680051,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-03-12,15.7000,16.0700,15.5000,16.0500,89175480,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-03-13,15.9500,16.0000,15.7000,15.7200,50009565,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-03-14,15.5400,15.7200,15.2500,15.3000,42182542,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-03-15,15.1700,15.4700,15.0500,15.4100,33282379,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-03-16,15.4000,15.5400,15.0800,15.0800,28768734,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-03-19,15.0300,15.3300,14.8800,15.0600,30892211,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-03-20,14.8300,14.9700,14.5500,14.9400,39019818,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-03-21,14.8900,15.3200,14.6800,14.6800,37680581,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-03-22,14.6500,14.8800,14.4200,14.5400,33579602,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-03-23,13.7500,13.9900,13.0900,13.4000,79878189,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-03-26,13.0500,13.5500,12.7700,13.4900,48838795,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-03-27,13.7600,14.0900,13.6200,14.0000,49165535,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-03-28,13.7800,13.9000,13.4000,13.4000,36624325,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-03-29,13.5800,13.7600,13.3700,13.6600,29888279,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-03-30,13.1300,13.5600,12.9700,13.4200,59951964,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-04-02,13.5300,14.4300,13.5000,14.1100,78076250,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-04-03,13.8500,14.2500,13.8400,14.0700,50221748,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-04-04,14.1000,14.2100,13.7000,13.7100,37685270,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-04-09,13.5100,13.7400,13.3600,13.4600,32884701,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-04-10,13.4000,13.7400,13.3500,13.7400,29261536,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-04-11,13.7300,14.0500,13.7000,13.7600,34202523,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-04-12,13.8300,14.0500,13.8000,13.8700,32272828,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-04-13,14.0000,14.0500,13.7100,13.7400,23275291,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-04-16,13.6600,13.9000,13.5500,13.7900,28126981,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-04-17,13.8300,13.8700,13.0500,13.0700,42339299,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-04-18,13.1800,13.2600,12.3800,12.9700,41455390,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-04-19,12.8500,13.0000,12.6500,12.8300,27068923,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-04-20,12.6200,12.7600,12.0400,12.1500,47522822,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-04-23,11.8900,11.8900,11.0100,11.1600,64294290,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-04-24,11.1400,11.4000,11.1100,11.3300,29165420,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-04-25,11.2500,11.4800,11.2000,11.3900,20682543,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2018-04-26,11.4000,11.4500,11.0100,11.0600,30196140,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
