time,open,high,low,close,volume,note
2018-01-02,41.9100,42.0800,40.7800,41.9300,12488829,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2018-01-03,41.7000,42.5500,41.1500,41.9700,12382646,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2018-01-04,41.6000,42.9000,41.6000,42.0800,13777509,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2018-01-05,41.9000,41.9500,39.5800,40.0500,16408721,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2018-01-08,39.5100,39.5100,37.9800,38.7600,13134128,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2018-01-09,38.7700,38.9300,37.8900,38.4600,7539594,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2018-01-10,38.6000,39.0900,36.1000,36.9000,12960966,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2018-01-11,36.5800,37.5600,36.1300,37.2200,8347490,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2018-01-12,37.2900,37.5800,35.5500,35.6200,9277661,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2018-01-15,35.2200,35.5900,32.4100,33.0900,14891971,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2018-01-16,33.3000,33.4600,32.3000,32.9100,9248018,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2018-01-17,32.8800,34.6500,31.9000,34.0000,14448853,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2018-01-18,33.5700,34.9400,33.0000,34.7700,14441589,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2018-01-19,34.0000,34.7500,33.3800,33.4000,11108382,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2018-01-22,33.4200,34.7400,32.0600,34.0800,12844431,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2018-01-23,33.7800,34.6400,33.6200,33.8900,6773944,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2018-01-24,33.7700,35.7700,33.3300,35.4300,14749573,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2018-01-25,35.1500,35.8700,34.6000,34.6100,8833734,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2018-01-26,34.6100,35.1300,34.1800,34.3300,5712887,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2018-01-29,34.3500,34.8400,31.0300,31.1500,13682477,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2018-01-30,31.1000,31.8500,30.8500,31.1800,6912107,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2018-01-31,30.9000,31.5400,30.1500,30.7700,6579636,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2018-02-01,30.9300,31.6500,30.2000,30.6200,6858939,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2018-02-02,30.7100,30.7100,28.9000,29.7800,7344496,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2018-02-05,29.2500,30.4600,28.8800,29.9100,6034300,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2018-02-06,29.0200,29.6100,26.9200,26.9200,12199869,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2018-02-07,27.5000,27.6000,24.6300,26.1500,14925748,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2018-02-08,25.8900,27.6000,25.8400,27.1000,12673278,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2018-02-09,26.1900,28.2000,26.1100,27.0900,12694078,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2018-02-12,27.4600,29.1500,27.4600,28.3500,12353438,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2018-02-13,28.7000,29.2600,28.3000,28.4900,8967149,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
