time,open,high,low,close,volume,note
2018-01-02,11.9500,11.9600,11.8300,11.8800,955908,sz.002459 | 晶澳科技 | baostock | adjustflag=3 raw
2018-01-03,11.9300,12.2800,11.8800,12.1800,6798592,sz.002459 | 晶澳科技 | baostock | adjustflag=3 raw
2018-01-04,12.1900,12.2600,12.0100,12.0300,3905556,sz.002459 | 晶澳科技 | baostock | adjustflag=3 raw
2018-01-05,12.0900,12.1800,11.9600,12.0600,3346755,sz.002459 | 晶澳科技 | baostock | adjustflag=3 raw
2018-01-08,12.0000,12.1000,11.7600,11.8700,2842900,sz.002459 | 晶澳科技 | baostock | adjustflag=3 raw
2018-01-09,11.9200,11.9900,11.8300,11.8500,1544801,sz.002459 | 晶澳科技 | baostock | adjustflag=3 raw
2018-01-10,11.9200,11.9200,11.6300,11.7500,2737628,sz.002459 | 晶澳科技 | baostock | adjustflag=3 raw
2018-01-11,11.7000,11.8400,11.6800,11.7700,1161010,sz.002459 | 晶澳科技 | baostock | adjustflag=3 raw
2018-01-12,11.7300,11.7900,11.6300,11.7100,1406500,sz.002459 | 晶澳科技 | baostock | adjustflag=3 raw
2018-01-15,11.7300,11.8700,11.6500,11.7200,1211300,sz.002459 | 晶澳科技 | baostock | adjustflag=3 raw
2018-01-16,11.7100,11.8100,11.6400,11.7100,1144800,sz.002459 | 晶澳科技 | baostock | adjustflag=3 raw
2018-01-17,11.6900,11.7300,11.6300,11.6800,2199152,sz.002459 | 晶澳科技 | baostock | adjustflag=3 raw
2018-01-18,11.6900,11.7300,11.6600,11.6800,1106000,sz.002459 | 晶澳科技 | baostock | adjustflag=3 raw
2018-01-19,11.6800,11.7300,11.6300,11.6500,1788212,sz.002459 | 晶澳科技 | baostock | adjustflag=3 raw
2018-01-22,11.6500,11.8400,11.6000,11.7900,1327100,sz.002459 | 晶澳科技 | baostock | adjustflag=3 raw
2018-01-23,11.8100,11.8300,11.6000,11.7500,1916800,sz.002459 | 晶澳科技 | baostock | adjustflag=3 raw
2018-01-24,11.7500,11.8000,11.6300,11.7600,1054961,sz.002459 | 晶澳科技 | baostock | adjustflag=3 raw
2018-01-25,11.7200,11.8600,11.6700,11.7200,1849851,sz.002459 | 晶澳科技 | baostock | adjustflag=3 raw
