time,open,high,low,close,volume,note
2018-01-02,23.4400,23.5100,22.6000,23.0500,22820910,sz.002475 | 立讯精密 | baostock | adjustflag=3 raw
2018-01-03,23.1000,24.2200,22.8500,23.9800,33834120,sz.002475 | 立讯精密 | baostock | adjustflag=3 raw
2018-01-04,23.8800,24.6000,23.6700,24.3000,24186408,sz.002475 | 立讯精密 | baostock | adjustflag=3 raw
2018-01-05,24.3000,24.8800,23.8500,23.8500,21144818,sz.002475 | 立讯精密 | baostock | adjustflag=3 raw
2018-01-08,23.8500,24.0400,23.2000,23.5000,20463006,sz.002475 | 立讯精密 | baostock | adjustflag=3 raw
2018-01-09,23.5500,24.3000,23.4100,24.1000,13386718,sz.002475 | 立讯精密 | baostock | adjustflag=3 raw
2018-01-10,24.0000,24.0000,23.0400,23.3000,29198236,sz.002475 | 立讯精密 | baostock | adjustflag=3 raw
2018-01-11,23.1700,23.6000,22.6000,23.3600,19955106,sz.002475 | 立讯精密 | baostock | adjustflag=3 raw
2018-01-12,23.0700,23.5000,23.0500,23.2900,8719212,sz.002475 | 立讯精密 | baostock | adjustflag=3 raw
2018-01-15,23.3800,23.4500,22.1700,22.4500,18862488,sz.002475 | 立讯精密 | baostock | adjustflag=3 raw
2018-01-16,22.3000,22.4900,21.0600,21.5500,46484378,sz.002475 | 立讯精密 | baostock | adjustflag=3 raw
2018-01-17,21.4500,22.4900,20.9900,22.0200,33016590,sz.002475 | 立讯精密 | baostock | adjustflag=3 raw
2018-01-18,22.1000,22.9800,21.6600,22.6800,30286312,sz.002475 | 立讯精密 | baostock | adjustflag=3 raw
2018-01-19,22.5700,23.5000,22.5000,23.1500,24676474,sz.002475 | 立讯精密 | baostock | adjustflag=3 raw
2018-01-22,23.0000,23.5700,22.2800,23.0000,41613674,sz.002475 | 立讯精密 | baostock | adjustflag=3 raw
2018-01-23,23.0500,23.1300,22.3200,22.6500,28954451,sz.002475 | 立讯精密 | baostock | adjustflag=3 raw
