time,open,high,low,close,volume,note
2018-01-02,101.2200,103.9800,100.1000,100.6900,608534,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-01-03,98.0000,101.4900,97.1000,100.8200,1452136,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-01-04,101.0000,102.8000,100.0100,100.5000,741720,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-01-05,100.5100,100.5100,90.6200,91.8700,1957824,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-01-08,92.9600,93.6300,90.9800,91.4300,1366004,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-01-09,92.0600,92.4300,90.5800,91.2800,1117275,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-01-10,90.8300,91.3800,87.1500,90.4900,1279490,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-01-11,90.9600,91.4400,88.5600,89.6000,675073,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-01-12,90.0000,90.7500,88.5800,88.7800,663242,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-01-15,88.3100,88.3100,84.6600,86.0000,1311273,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-01-16,85.9900,93.8900,85.5000,92.9900,1727512,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-01-17,93.0000,94.5000,89.6500,91.9000,1205231,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-01-18,90.9000,93.5000,90.2600,92.0000,375658,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-01-19,91.5500,92.9000,91.1000,92.6900,463860,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-01-22,94.5100,94.5100,90.5100,91.6000,455162,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-01-23,90.9000,91.9800,89.1000,89.7500,354517,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-01-24,90.0000,90.7500,86.5000,89.9900,1009607,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-01-25,89.0000,89.6000,87.8100,88.6200,578999,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-01-26,88.4100,92.3600,88.4100,90.6800,567301,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-01-29,89.3400,92.5000,89.3300,91.2700,576200,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-01-30,91.2900,92.4900,90.3000,91.9500,490100,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-01-31,91.3000,91.4600,88.8100,90.4800,424658,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-02-01,90.0200,90.2900,88.0100,88.9900,424265,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-02-02,89.5000,90.0000,86.0200,89.2600,349100,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-02-05,87.0000,89.0000,86.5000,87.3000,499619,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-02-06,87.0000,87.0000,78.5800,82.5800,890600,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-02-07,84.8700,85.1000,81.1800,83.5000,492720,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-02-08,84.0000,89.3000,84.0000,87.0000,543104,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-02-09,86.5900,91.3300,83.0300,88.5200,745797,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-02-12,89.0000,97.3700,89.0000,96.9000,1060281,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-02-13,96.9100,103.0000,96.9000,99.5800,879822,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-02-14,104.2400,105.7400,102.2000,104.9400,1338925,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-02-22,104.9500,106.5100,102.5000,102.7000,957900,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-02-23,104.8300,104.8300,98.1500,101.2400,1179965,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-02-26,102.6000,104.9800,101.5000,103.0000,745072,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-02-27,101.1000,103.7900,100.2000,103.1100,716077,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-02-28,101.2000,104.4000,100.5500,103.3000,676707,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-03-01,102.2000,104.4100,102.2000,104.2000,482104,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-03-02,103.2000,108.8800,102.8800,106.2000,929481,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-03-05,106.5000,110.8800,104.5000,105.3000,913043,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-03-06,106.4600,115.8300,106.4600,113.1100,1783457,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-03-07,117.0500,117.3600,110.0100,110.1000,1102778,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-03-08,105.9400,109.4300,105.5600,106.5000,987948,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-03-09,107.9900,111.8700,106.5000,110.8000,752052,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-03-12,110.0500,116.2500,110.0500,116.0100,1215216,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-03-13,115.5100,116.5000,113.4700,113.8800,849432,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-03-14,115.0000,118.0000,113.1400,114.9900,1330457,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-03-15,114.9000,126.0000,113.6000,123.3000,2027438,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-03-16,123.3100,126.0000,120.5200,123.5500,758914,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-03-19,123.0000,126.0000,117.8100,122.0000,1406756,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-03-20,123.0600,127.9800,123.0000,126.2800,971082,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-03-21,123.6100,129.0000,121.7600,123.3000,768177,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-03-22,123.3000,124.8800,121.1500,121.5000,711005,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-03-23,118.0000,123.0100,109.3500,116.0000,1362974,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-03-26,115.9800,122.6600,112.6100,118.6000,1199720,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-03-27,121.5000,125.8000,120.1400,125.7800,1361271,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-03-28,124.9800,125.0000,120.5800,123.8600,1618320,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-03-29,123.7000,125.7000,119.2100,119.9600,956265,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-03-30,120.5100,124.1800,117.8800,123.8300,525953,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-04-02,124.5000,128.4800,121.7100,122.5000,704011,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-04-03,121.2600,123.4400,119.5100,121.6800,563560,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-04-04,121.8000,122.5800,119.3000,120.1800,476003,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-04-09,120.0000,120.9600,114.0000,116.3000,788842,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-04-10,117.0000,122.2200,115.0000,121.7000,840992,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-04-11,123.9800,125.0000,121.2500,123.8600,803238,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-04-12,123.8000,124.9600,122.0100,123.8500,590349,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-04-13,124.4100,126.9600,123.8000,126.0000,610837,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-04-16,125.1400,127.6800,122.0100,123.2000,549852,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-04-17,61.2400,61.9200,58.5000,59.5000,1628780,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-04-18,60.0000,60.4900,56.6100,58.8500,1486875,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-04-19,58.8500,58.8500,55.5500,57.1000,1848002,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-04-20,56.5000,56.5000,53.4000,53.5500,1884668,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-04-23,53.5400,55.8000,51.5000,52.9900,1290660,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-04-24,53.0000,55.1700,52.5000,54.3600,2146200,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-04-25,53.5200,54.3500,52.3800,52.8000,1207700,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-04-26,52.8100,53.4000,51.6100,52.2600,1417988,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-04-27,52.0000,54.2200,51.0000,53.9300,1227480,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-05-02,53.5000,55.0000,53.5000,54.4800,853382,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-05-03,55.0000,55.4700,53.8600,55.0000,917242,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-05-04,54.0100,55.0900,53.8000,54.0000,592634,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-05-07,53.9600,58.4900,53.3700,57.9000,1605728,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-05-08,57.9500,60.7000,57.3000,58.6900,1788226,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-05-09,58.6700,59.5500,57.1500,57.8000,705789,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-05-10,58.0000,58.7400,57.2000,57.7500,1014626,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-05-11,57.7500,59.4900,56.6700,58.7400,1544183,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-05-14,58.1800,58.6000,55.7800,57.6400,1613696,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-05-15,56.8100,58.6000,56.5000,56.7000,894282,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-05-16,56.7000,56.7000,54.0000,55.0000,3010608,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-05-17,54.6000,55.3800,54.0000,54.2600,1400339,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-05-18,54.2000,54.7400,53.6900,54.4000,971469,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-05-21,54.5100,56.1400,54.5100,55.2600,1572808,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-05-22,54.7600,56.2500,54.7300,55.5000,1008458,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-05-23,55.5100,55.5400,52.9900,53.5100,1310032,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-05-24,54.5000,58.8600,54.5000,55.8100,2686115,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-05-25,54.6900,56.0000,53.8300,53.8400,1839245,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-05-28,53.8000,54.6600,53.2000,54.2800,1403964,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-05-29,54.0000,54.0000,51.8000,51.8000,1646791,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-05-30,51.1500,52.2900,48.9600,49.9800,1696927,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-05-31,49.9900,50.8500,49.9900,50.7500,764900,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-06-01,50.5800,51.0000,47.9900,48.0100,2448396,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-06-04,48.1100,49.2000,45.0000,47.4700,2544637,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-06-05,48.4700,50.0000,47.7000,49.8600,2114147,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-06-06,50.1000,51.9300,49.6000,51.2500,1494073,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-06-07,51.3100,52.0000,50.1000,50.2900,826100,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-06-08,50.4100,50.9100,49.0000,50.1300,1009131,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-06-11,50.1500,51.6900,48.2600,50.3100,1633077,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-06-12,50.3100,51.3800,49.1100,49.4000,968440,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-06-13,49.7500,49.7500,48.3500,48.3600,887700,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-06-14,48.3600,49.7000,48.3600,49.1000,643200,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2018-06-15,49.4700,49.9600,48.6000,49.5600,883890,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
