time,open,high,low,close,volume,note
2018-01-02,13.7200,13.7900,13.7100,13.7800,2042475,sz.300001 | 特锐德 | baostock | adjustflag=3 raw
2018-01-03,13.6900,13.9700,13.6800,13.9000,3673721,sz.300001 | 特锐德 | baostock | adjustflag=3 raw
2018-01-04,13.8700,13.9600,13.7400,13.8000,2756626,sz.300001 | 特锐德 | baostock | adjustflag=3 raw
2018-01-05,13.8200,13.9000,13.6900,13.8200,2592041,sz.300001 | 特锐德 | baostock | adjustflag=3 raw
2018-01-08,13.7800,13.8900,13.7300,13.8600,2228164,sz.300001 | 特锐德 | baostock | adjustflag=3 raw
2018-01-09,13.8300,13.8700,13.6700,13.7700,1923920,sz.300001 | 特锐德 | baostock | adjustflag=3 raw
2018-01-10,13.7500,13.7900,13.4600,13.5000,2786245,sz.300001 | 特锐德 | baostock | adjustflag=3 raw
2018-01-11,13.5000,13.7500,13.4400,13.6700,2547181,sz.300001 | 特锐德 | baostock | adjustflag=3 raw
2018-01-12,13.7400,13.7900,13.6500,13.6500,2462060,sz.300001 | 特锐德 | baostock | adjustflag=3 raw
2018-01-15,13.6500,13.6500,13.1600,13.1800,3723389,sz.300001 | 特锐德 | baostock | adjustflag=3 raw
2018-01-16,13.1500,13.2900,13.1500,13.2000,2149941,sz.300001 | 特锐德 | baostock | adjustflag=3 raw
2018-01-17,13.2400,13.4200,13.0100,13.4200,4358714,sz.300001 | 特锐德 | baostock | adjustflag=3 raw
2018-01-18,13.4300,13.5100,13.2100,13.2200,3015520,sz.300001 | 特锐德 | baostock | adjustflag=3 raw
2018-01-19,13.2200,13.3400,13.1300,13.2300,2412792,sz.300001 | 特锐德 | baostock | adjustflag=3 raw
2018-01-22,13.2300,13.7200,13.0500,13.6500,5680652,sz.300001 | 特锐德 | baostock | adjustflag=3 raw
2018-01-23,13.5600,13.7200,13.4500,13.5400,3001339,sz.300001 | 特锐德 | baostock | adjustflag=3 raw
2018-01-24,13.5100,13.9900,13.4900,13.9800,6705185,sz.300001 | 特锐德 | baostock | adjustflag=3 raw
2018-01-25,13.9600,14.3900,13.8400,13.8800,6855341,sz.300001 | 特锐德 | baostock | adjustflag=3 raw
2018-01-26,13.8100,13.9500,13.7300,13.7800,3827117,sz.300001 | 特锐德 | baostock | adjustflag=3 raw
2018-01-29,13.7800,14.0500,13.7100,13.7900,3254364,sz.300001 | 特锐德 | baostock | adjustflag=3 raw
2018-01-30,13.7900,13.9900,13.7500,13.8800,2411958,sz.300001 | 特锐德 | baostock | adjustflag=3 raw
2018-01-31,13.8500,13.8500,13.3300,13.3700,3362447,sz.300001 | 特锐德 | baostock | adjustflag=3 raw
2018-02-01,13.1200,13.4900,13.0500,13.0800,3404246,sz.300001 | 特锐德 | baostock | adjustflag=3 raw
2018-02-02,13.0300,13.3000,12.9000,13.1000,2376053,sz.300001 | 特锐德 | baostock | adjustflag=3 raw
2018-02-05,12.9900,13.0800,12.7200,12.7200,2876745,sz.300001 | 特锐德 | baostock | adjustflag=3 raw
2018-02-06,12.5000,12.5000,11.6900,11.8000,6841196,sz.300001 | 特锐德 | baostock | adjustflag=3 raw
2018-02-07,12.0000,12.2800,11.7300,12.2000,4951910,sz.300001 | 特锐德 | baostock | adjustflag=3 raw
2018-02-08,12.1800,12.3800,12.1000,12.3500,2744060,sz.300001 | 特锐德 | baostock | adjustflag=3 raw
2018-02-09,12.0700,12.2200,11.7800,11.9400,3281944,sz.300001 | 特锐德 | baostock | adjustflag=3 raw
2018-02-12,11.9600,12.3600,11.9600,12.3100,2508000,sz.300001 | 特锐德 | baostock | adjustflag=3 raw
2018-02-13,12.2800,12.4500,12.2000,12.2300,1852023,sz.300001 | 特锐德 | baostock | adjustflag=3 raw
