time,open,high,low,close,volume,note
2018-01-02,24.5000,24.6600,23.6300,24.0000,8876492,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-01-03,23.9700,24.1200,23.1400,23.3800,18605146,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-01-04,23.3800,23.7400,23.3100,23.5300,10617473,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-01-05,23.6800,25.1100,23.4300,25.0900,19707392,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-01-08,25.0900,25.3400,24.6900,25.3000,15520759,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-01-09,25.3000,25.5500,24.9200,25.3500,10101045,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-01-10,25.3400,25.5100,24.8000,25.2900,9646663,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-01-11,25.1700,25.2000,24.6100,25.0000,7195023,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-01-12,24.9600,24.9600,24.5100,24.6500,6666323,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-01-15,24.6000,25.1900,24.2200,24.4100,8565697,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-01-16,24.2300,25.1700,24.2200,24.4100,13559255,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-01-17,24.4600,26.1000,24.4600,26.0400,23440595,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-01-18,26.0000,26.0700,25.6300,25.9100,9149436,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-01-19,25.8800,26.1900,25.6300,26.0200,10404903,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-01-22,26.0200,26.0900,25.5000,26.0300,9858158,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-01-23,26.1600,26.8100,25.6400,26.0600,10480422,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-01-24,25.8000,27.5400,25.8000,26.7000,22357522,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-01-25,26.5500,27.4500,26.4000,26.8800,14505453,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-01-26,26.6700,27.6500,26.6700,27.0000,12270514,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-01-29,27.1800,27.6600,26.1500,26.1700,13580775,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-01-30,26.1500,27.0000,26.1500,26.8400,10322891,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-01-31,26.7900,27.2000,25.6500,26.1000,13396224,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-02-01,26.1000,26.2900,24.8000,25.7500,11760019,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-02-02,25.7500,26.6800,25.5100,26.0200,13502344,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-02-05,25.8000,26.6000,25.0100,26.3900,9614073,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-02-06,25.8000,25.8200,24.0100,24.4800,14466329,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-02-07,25.2100,25.6700,24.3000,24.5500,12772143,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-02-08,24.5700,25.9100,24.4000,25.6800,12551598,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-02-09,24.2000,25.3700,24.0800,24.2100,13103853,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-02-12,24.2900,25.7200,24.2800,25.5500,10048046,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-02-13,25.7000,26.4900,25.6000,25.8200,9102189,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-02-14,26.1400,26.7000,25.5700,26.6600,6645230,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-02-22,26.7800,27.3300,26.4000,27.0200,9998716,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-02-23,26.9300,27.1900,26.5800,26.9000,5749658,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-02-26,27.0100,27.5500,26.8600,27.2800,10420593,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-02-27,27.1700,27.5200,26.6100,26.7600,10944775,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-02-28,26.6800,27.9400,26.5200,27.6700,13021334,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-03-01,27.6900,27.9600,27.3000,27.9300,9440151,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-03-02,27.8600,28.3100,27.5500,27.6500,7798559,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-03-05,27.5500,29.0600,27.5500,28.8100,12742301,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-03-06,28.6800,30.2800,28.6800,29.8900,17856755,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-03-07,29.8600,30.0000,29.0300,29.5000,13077911,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-03-08,29.4600,30.0600,29.1800,29.8000,10828142,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-03-09,29.7500,30.2500,29.3700,30.1000,11095284,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-03-12,30.6800,31.2500,29.9300,30.2500,17772509,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-03-13,30.1000,30.5200,29.5700,29.7800,14407596,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-03-14,29.6000,30.7000,29.6000,30.1100,12718929,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-03-15,30.0000,30.5600,29.6100,30.2700,12263684,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-03-16,30.1800,30.5300,29.5100,29.5100,10061363,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-03-19,29.4000,32.4000,29.3500,32.3500,21570180,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-03-20,32.0300,32.7800,31.8100,32.5200,17069631,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-03-21,32.4100,33.7000,32.1800,32.8500,17492377,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-03-22,32.8800,33.1000,31.7500,31.9100,17002739,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-03-23,30.9800,32.6500,30.7100,32.0600,22211158,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-03-26,31.9700,33.7200,31.8000,33.3500,23447114,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-03-27,33.6900,34.1500,33.0100,33.4000,21086942,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-03-28,32.9000,33.7700,32.2200,32.5100,16508444,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-03-29,32.6500,32.7700,31.1900,31.8200,18730637,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-03-30,31.8200,34.2000,31.6000,33.7200,26524575,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-04-02,33.7200,33.9800,33.2400,33.7000,14615048,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-04-03,33.3500,33.7000,32.8200,33.3700,8936454,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-04-04,33.8500,34.7900,33.2100,33.4000,12785345,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-04-09,33.3900,33.9900,32.3200,32.9800,13290450,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-04-10,32.9000,33.5700,32.3800,33.4400,9319323,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-04-11,33.4300,33.7500,32.6200,32.8700,11453767,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-04-12,32.7900,34.7000,32.5800,34.0800,17125137,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-04-13,34.4300,34.9700,32.8800,33.2700,16453253,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-04-16,33.2200,34.3000,32.7800,33.5900,12525667,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-04-17,33.4500,34.1500,32.7800,32.8000,12022644,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-04-18,33.0000,33.3000,30.7500,32.1500,20493621,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-04-19,31.9000,32.6800,31.9000,32.3600,9975372,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-04-20,32.3600,33.4600,32.0000,32.8000,11961843,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-04-23,32.6600,34.1000,32.6600,33.3300,14665824,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-04-24,32.7700,34.0500,32.7600,33.4600,10589937,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-04-25,33.3700,36.8100,33.3200,36.8100,20596185,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-04-26,36.9000,36.9000,35.6900,35.9000,12590616,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-04-27,36.0500,38.9100,36.0500,36.9000,22272813,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-05-02,37.6400,38.3000,36.3000,37.2600,13772324,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-05-03,37.1900,37.3700,36.3700,36.8000,10386001,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-05-04,36.9200,38.7800,36.9200,37.4800,13893018,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-05-07,37.8100,38.4700,37.0500,37.9500,14546604,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-05-08,37.9500,37.9800,37.1600,37.6300,10119591,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-05-09,37.6000,37.8700,36.8500,37.3900,8509847,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-05-10,37.4100,39.2600,37.1000,38.9000,16745582,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-05-11,38.6700,39.1900,37.5700,38.0700,13215814,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-05-14,37.9500,38.2400,36.9500,37.9200,10584026,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-05-15,37.6700,39.2700,37.5400,39.0900,10905776,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-05-16,39.2000,40.0000,38.6500,39.5000,12900519,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-05-17,39.5900,39.8000,39.0900,39.1800,5661314,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-05-18,38.9300,39.4500,37.6000,38.9900,11543568,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-05-21,39.0200,39.3000,37.7400,38.0800,16933857,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-05-22,38.0800,38.6800,37.7000,38.5600,12995618,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-05-23,38.1800,39.3900,38.0000,38.7400,14228415,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-05-24,38.7400,39.5500,38.7400,39.1100,10434160,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-05-25,39.1100,39.9700,38.6800,39.4100,11775513,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-05-28,39.7500,39.7600,38.7800,39.4400,10028383,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-05-29,39.4000,41.6900,38.2900,38.5700,19651286,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-05-30,37.6000,39.1800,37.0600,38.0000,14653141,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-05-31,38.6300,39.9700,38.0600,39.8000,11100055,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-06-01,39.9000,40.1700,37.2200,37.3000,14653855,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-06-04,37.3000,37.6700,35.8200,37.2900,14840436,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-06-05,37.4400,39.2100,37.2900,38.8800,14401733,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-06-06,39.1100,39.7600,38.8100,39.4700,9541674,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-06-07,39.5500,39.7300,38.8800,39.0400,5950185,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-06-08,39.0100,39.3100,37.7900,38.2900,9218208,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-06-11,38.3800,38.4000,36.4000,36.8600,12504946,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-06-12,36.9400,37.9000,36.4800,37.4800,10679402,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-06-13,37.5200,37.8000,36.3600,36.4000,9271070,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-06-14,36.5000,37.1800,35.7000,35.7700,12609887,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-06-15,35.7300,36.3000,35.4000,35.9800,7872626,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-06-19,35.5300,35.9000,33.7000,33.8200,12734702,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-06-20,33.4000,35.3900,32.2000,34.7900,31441868,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-06-21,34.6900,36.2700,34.5000,34.8000,24584911,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-06-22,34.6100,35.4800,33.4300,34.8800,12603886,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-06-25,35.0000,36.4800,34.7500,36.0500,18740610,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-06-26,35.6000,36.0100,35.0000,35.7000,13298022,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
2018-06-27,35.6000,35.9000,34.0400,34.5800,11263776,sz.300003 | 乐普医疗 | baostock | adjustflag=3 raw
