time,open,high,low,close,volume,note
2018-01-02,31.0000,31.2500,30.3000,30.4200,7607715,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-01-03,30.4000,30.4500,29.2200,30.2500,10099131,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-01-04,30.5100,30.5600,29.5400,29.6700,12372473,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-01-05,30.6500,32.3300,30.4100,31.5000,21289329,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-01-08,31.6800,33.7000,31.6700,33.6300,15921172,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-01-09,33.6200,34.2100,33.0300,33.4000,11149714,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-01-10,33.7400,34.9200,33.6100,33.9000,11446797,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-01-11,33.7700,34.9900,33.3700,33.8900,9707333,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-01-12,33.8000,34.2800,33.4000,34.1100,6066953,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-01-15,33.6300,34.6100,32.9000,33.4500,10315157,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-01-16,33.5500,35.9500,33.5500,35.4500,12435685,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-01-17,35.6300,36.2900,34.5000,35.2600,11395291,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-01-18,35.0000,36.2300,34.9300,35.9700,11933349,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-01-19,35.5000,35.6900,34.9800,35.1000,7423486,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-01-22,35.3000,35.4600,34.7000,35.0000,6753764,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-01-23,35.0000,35.5900,34.9000,35.5900,7162153,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-01-24,35.5800,36.8400,35.0500,36.3300,12245066,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-01-25,36.4000,36.7400,35.6100,35.7900,6571990,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-01-26,35.5000,36.1500,35.0200,35.3000,7147222,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-01-29,34.9600,35.6100,34.5000,34.9000,8726518,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-01-30,34.9000,35.0800,34.5100,34.7700,4616321,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-01-31,34.7700,35.5100,34.5700,34.9800,7140082,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-02-01,35.0200,36.0400,34.5000,34.6000,8523911,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-02-02,34.4000,34.8600,33.3200,34.5100,6047345,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-02-05,33.7600,34.3900,33.5000,33.6000,7393222,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-02-06,32.5000,33.2500,31.3000,31.5000,15682823,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-02-07,32.3800,33.3800,31.8200,32.6000,14781317,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-02-08,32.4000,33.3100,31.9200,32.5000,8624361,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-02-09,31.4900,32.0700,30.7500,31.4700,9923654,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-02-12,31.6800,34.4800,31.6200,33.6900,14959751,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-02-13,33.9900,34.7100,33.6800,33.7500,10027820,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-02-14,33.7500,35.2800,33.6500,35.1000,7953558,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-02-22,35.3700,35.6100,34.6400,35.6100,8217017,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-02-23,35.3000,35.7800,34.7200,35.0600,7145665,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-02-26,35.0600,37.1600,35.0600,37.1600,10689970,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-02-27,37.0100,37.4800,36.3000,36.6100,8613160,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-02-28,36.4200,37.0900,36.1700,36.3000,6544676,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-03-01,36.2000,37.4800,36.0800,37.1300,7909940,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-03-02,36.9900,37.4000,36.6200,36.8100,4994356,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-03-05,37.0000,37.4000,36.4200,37.2400,5603125,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-03-06,37.1600,38.5000,37.1600,38.2800,8682529,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-03-07,38.2800,38.6500,37.9500,38.3500,5721103,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-03-08,38.1600,40.2000,38.1000,40.0800,9763088,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-03-09,39.9500,40.3500,39.2000,39.9000,7974238,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-03-12,39.9000,40.7700,39.3800,39.8700,8838400,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-03-13,39.7000,39.7800,38.2000,38.8800,10077190,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-03-14,38.8000,39.4500,38.5000,38.8400,5873402,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-03-15,38.4900,39.2000,38.3800,38.8700,4984945,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-03-16,38.8800,39.9000,38.8000,39.5600,7949559,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-03-19,39.5000,40.6500,38.4400,40.2600,8594998,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-03-20,39.8200,41.6600,39.8000,41.5900,10106561,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-03-21,41.3500,42.3700,40.8700,41.1700,9297865,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-03-22,41.1500,41.7000,40.8300,41.1700,5444163,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-03-23,39.5000,41.3800,38.8800,40.0900,13056684,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-03-26,39.4000,42.2200,39.4000,42.1600,9797526,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-03-27,42.2200,44.1300,42.2100,43.2000,12850766,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-03-28,42.7700,43.6600,41.8400,41.8700,8131050,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-03-29,42.0000,42.3400,38.0000,40.0100,14281895,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-03-30,39.7500,41.6700,39.6100,41.1800,10428897,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-04-02,40.9800,41.5700,40.0900,40.3500,8942593,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-04-03,40.0000,40.8800,39.6200,40.2800,8980320,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-04-04,40.7500,40.9500,38.9000,38.9000,9828270,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-04-09,38.8600,41.0000,38.8600,40.9800,11995592,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-04-10,41.4800,42.5000,40.5300,42.3800,9655281,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-04-11,42.2000,42.8900,42.0800,42.3700,5574037,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-04-12,42.1100,43.6200,41.6300,42.8000,5973881,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-04-13,42.9100,43.4500,41.6000,42.2700,5909514,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-04-16,42.1100,42.9100,41.5000,42.1500,5521064,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-04-17,42.1400,42.3800,40.6000,40.6800,5597230,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-04-18,40.7200,41.1000,39.5000,40.8000,8457680,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-04-19,41.0800,42.4100,40.6500,41.9500,6870475,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-04-20,41.9500,43.6000,41.6500,42.6000,8208197,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-04-23,42.7200,44.1600,42.7200,42.9500,9497720,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-04-24,42.8200,43.8600,42.2800,43.3800,6951766,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-04-25,43.3000,45.6000,43.1800,45.5500,10516436,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-04-26,45.6000,45.6000,44.0000,44.4000,7843356,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-04-27,44.6600,47.1200,44.4200,47.0000,9867632,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-05-02,47.0000,47.8600,45.8800,46.4700,9446328,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-05-03,46.5000,46.5800,44.5000,45.8000,8304552,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-05-04,45.6600,47.1800,45.3100,45.9800,6703542,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-05-07,45.7500,46.3700,45.2500,46.2000,7189227,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-05-08,46.4000,46.4000,45.2000,45.5000,7894714,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-05-09,45.5000,45.7700,44.6500,45.1100,6430486,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-05-10,45.1600,47.8000,44.9800,47.7600,12087947,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-05-11,47.4800,47.8800,45.8000,46.0500,11721732,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-05-14,45.7000,46.3500,44.8300,45.9700,8087202,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-05-15,45.9900,46.9500,45.5000,46.4500,8147171,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-05-16,46.4400,48.0800,46.2500,47.4400,8782334,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-05-17,47.7700,47.8000,46.0200,46.8100,7127681,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-05-18,46.8500,48.5000,46.0300,48.5000,7691648,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-05-21,48.5200,49.3500,47.8500,48.6800,8394643,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-05-22,48.6500,50.1800,48.3300,50.1600,9003028,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-05-23,50.0000,51.1000,48.6800,49.4900,12132702,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-05-24,32.7900,33.6300,32.1900,33.3000,16169962,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-05-25,33.3000,34.0700,32.7100,33.5000,13498052,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-05-28,33.6000,34.4800,32.7200,34.4400,15875456,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-05-29,34.3000,34.8300,31.1300,31.1400,28239215,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-05-30,30.2900,32.1300,28.9000,30.7600,35365443,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-05-31,31.1500,33.0000,31.1500,33.0000,23701918,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-06-01,33.0000,33.4500,31.1600,32.1200,17932960,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-06-04,32.0000,32.3000,31.1800,31.7200,15291793,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-06-05,31.7000,32.8800,31.7000,32.6000,14322504,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-06-06,32.5600,32.8500,32.0500,32.3800,12408882,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-06-07,31.5500,32.0300,30.7200,30.9400,27900930,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-06-08,30.8800,31.7000,30.4200,31.5900,15568980,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-06-11,31.3700,31.4200,30.7000,31.0400,10844111,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-06-12,31.0000,31.2500,30.4700,30.8700,14656849,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-06-13,30.7700,30.9800,29.7300,30.8600,17123390,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-06-14,30.7600,31.0900,30.0000,30.1200,10046088,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-06-15,30.0500,30.4500,29.8800,29.9500,8060373,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-06-19,29.6500,30.4400,29.2900,29.7600,16595314,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-06-20,29.9900,32.3000,29.9200,32.0700,24905981,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-06-21,32.0900,33.0900,31.7500,32.2500,19578543,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-06-22,32.0300,32.9000,31.7500,32.4700,12293582,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-06-25,32.6500,33.6600,32.1900,33.2200,16880033,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-06-26,32.8000,33.5900,32.6000,32.9000,13212304,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-06-27,32.8200,32.9700,31.5100,31.7600,13957173,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-06-28,31.5000,32.1000,31.0800,31.6100,11980989,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-06-29,31.4000,32.5000,31.4000,32.2900,15475365,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-07-02,32.0600,33.0000,31.8500,32.3000,16073328,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-07-03,32.2000,32.2000,30.1100,31.2900,23067528,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
2018-07-04,31.0000,31.0000,30.0400,30.1600,11288654,sz.300015 | 爱尔眼科 | baostock | adjustflag=3 raw
