time,open,high,low,close,volume,note
2018-01-02,49.9800,50.1900,49.0300,49.3100,4471440,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-01-03,49.3900,50.2400,49.2000,50.0900,5131341,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-01-04,50.0800,50.0800,49.6100,49.8900,3471253,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-01-05,49.8800,51.8200,49.8300,51.2400,10485685,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-01-08,50.9000,53.2800,50.3000,52.0500,7543377,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-01-09,51.9000,51.9000,51.1400,51.3600,3944887,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-01-10,51.4900,52.8000,51.2200,51.6900,5072410,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-01-11,51.5800,54.0900,50.9000,53.5800,10150453,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-01-12,53.0000,53.2000,52.0300,52.1400,5848246,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-01-15,51.7500,51.9100,49.5000,49.9000,6369431,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-01-16,49.9000,50.2800,49.8000,50.2500,3207075,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-01-17,50.2600,53.1000,50.0200,51.7400,8611419,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-01-18,51.3000,52.7300,51.1100,51.4400,4635699,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-01-19,51.5000,53.8600,51.4000,52.8700,11501350,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-01-22,52.5400,58.1600,52.5400,58.1600,24936373,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-01-23,57.0100,58.4900,56.4900,58.2700,16962338,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-01-24,58.5600,64.0000,58.2000,62.1300,28979847,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-01-25,61.0000,63.9000,60.3800,60.4600,22163858,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-01-26,60.6300,61.9800,60.0000,60.8900,10461299,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-01-29,60.9000,61.4500,59.2000,61.0000,11245126,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-01-30,60.9900,62.2200,59.9000,60.6800,8912261,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-01-31,59.0000,59.0000,54.6200,54.7300,16232724,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-02-01,55.4400,56.3300,53.6400,55.0100,12783586,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-02-02,54.2500,57.2800,54.2500,55.6700,11132354,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-02-05,54.0000,55.6000,53.8600,54.8100,7606090,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-02-06,52.9000,54.6000,50.1600,50.8000,11509520,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-02-07,52.3200,53.9500,50.5000,52.4200,11155741,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-02-08,48.0000,49.9000,47.6600,48.7300,16847082,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-02-09,47.6400,47.6400,44.7100,45.5500,14363251,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-02-12,45.5600,47.2100,44.9500,46.3800,6807854,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-02-13,46.7900,47.3000,46.0000,46.1100,5379055,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-02-14,45.8100,46.4300,45.7000,46.1400,3651433,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-02-22,46.9500,48.4000,46.2600,47.8500,5900000,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-02-23,47.8000,48.2700,47.0800,47.6000,4195501,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-02-26,48.2100,50.1800,48.0000,49.9000,7619077,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-02-27,50.0000,50.4000,48.8200,49.4000,6814951,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-02-28,47.6500,49.6700,47.1000,48.5100,6462319,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-03-01,48.4800,50.9400,48.1000,50.8000,8873400,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-03-02,50.3000,51.5000,49.8000,49.9700,6961655,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-03-05,50.2000,51.4000,49.8200,51.3600,6513370,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-03-06,51.4000,52.3000,51.0100,51.4600,7026369,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-03-07,51.2000,51.5000,50.6400,50.6400,3961848,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-03-08,50.2400,51.0600,50.0500,50.3000,3213633,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-03-09,50.1300,53.1600,50.1300,53.0900,10943730,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-03-12,53.5600,54.5900,52.5600,53.2700,9707780,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-03-13,53.0800,54.3000,52.3000,52.8700,6769474,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-03-14,52.1800,53.2900,52.1000,52.4000,5257972,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-03-15,52.2000,52.6100,50.6600,52.5700,6454733,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-03-16,52.4500,53.8300,51.3100,51.3600,6746069,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-03-19,51.2100,52.7900,50.7000,51.5500,5330697,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-03-20,50.7900,51.8500,50.5500,51.5100,3678464,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-03-21,51.5500,52.6600,50.6500,50.8100,5321509,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-03-22,50.9000,51.4600,50.1500,50.1900,4312289,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-03-23,48.2000,48.9300,46.1000,46.9000,7526138,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-03-26,46.0000,48.6900,45.8000,48.6100,5097749,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-03-27,49.5800,51.3200,49.1000,50.5800,7561811,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-03-28,49.9000,50.7500,49.5800,50.0600,5458182,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-03-29,50.4500,51.6900,50.3200,51.1800,6731640,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-03-30,50.8000,52.2000,50.2800,51.9000,8131891,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-04-02,52.1800,53.4900,51.9000,53.1500,11584611,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-04-03,52.1000,52.4000,50.8800,51.6100,6662410,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-04-04,51.9700,52.1800,50.3300,50.6900,5194419,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-04-09,50.2000,51.3300,49.3400,50.5000,4698271,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-04-10,50.7500,51.1000,49.5200,50.1800,4462997,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-04-11,50.5000,50.9800,49.9000,50.1400,3823477,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-04-12,49.7700,50.3900,49.5000,49.6300,3070580,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2018-04-13,50.1700,50.6300,49.5800,49.6200,4071496,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
