time,open,high,low,close,volume,note
2018-01-02,58.6000,59.0000,57.1800,58.7800,891764,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-01-03,59.0100,59.5800,57.9000,58.7000,1281230,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-01-04,58.1100,58.7300,56.7200,57.6600,2111166,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-01-05,57.9000,59.5000,56.8700,57.4500,2745009,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-01-08,58.4900,58.5000,56.5800,56.9000,3017367,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-01-09,57.9000,59.7900,57.5200,59.4200,2320593,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-01-10,59.9800,63.1500,59.7500,61.3900,3787828,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-01-11,60.7000,62.2000,60.2300,61.6100,1389551,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-01-12,60.8800,62.8800,60.8800,61.7200,1653196,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-01-15,61.8000,62.5800,60.3200,61.0600,1438834,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-01-16,61.5800,61.5800,59.0400,59.2000,2574576,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-01-17,59.7000,60.2200,58.8800,59.6100,1929398,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-01-18,58.8100,61.1000,57.8800,59.7000,1203725,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-01-19,59.7000,60.5000,59.0600,59.2500,782887,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-01-22,59.6100,60.0000,58.0800,59.2000,1524840,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-01-23,58.0900,59.7500,58.0800,59.5000,1346635,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-01-24,59.6000,64.9200,58.4800,64.5400,2840290,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-01-25,65.6000,66.0000,63.2500,64.1500,2907934,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-01-26,63.5100,64.8000,63.5100,63.8400,942937,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-01-29,65.0000,65.0000,57.5800,59.4500,3350824,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-01-30,58.1500,61.3900,58.0800,61.2000,1042185,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-01-31,60.0800,61.7900,59.1200,59.5300,986268,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-02-01,58.9000,61.0000,58.0100,58.3000,1108083,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-02-02,58.3000,61.3000,58.0000,60.6200,1255306,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-02-05,58.7700,60.6000,57.9500,58.8000,1292071,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-02-06,55.2000,57.9800,55.2000,56.9100,1381355,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-02-07,57.9900,58.5000,54.1000,55.6000,2085419,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-02-08,55.5900,59.4000,55.1000,58.9900,2036998,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-02-09,57.2200,60.0000,57.2200,59.3700,1869615,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-02-12,59.3700,62.9600,59.3500,61.0100,2077967,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-02-13,61.0300,62.0500,60.2000,60.7000,903712,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-02-14,60.7500,61.3000,60.2200,61.2500,448572,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-02-22,61.6000,64.9800,61.6000,64.6500,1737113,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-02-23,64.2100,66.1900,64.2100,66.1900,1481809,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-02-26,66.2500,70.5700,66.2200,69.9000,2217869,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-02-27,69.9800,70.7700,67.1300,69.4500,2842109,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-02-28,68.9000,70.4500,67.5100,69.7700,1186837,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-03-01,69.0800,70.9200,67.9700,69.8500,1625563,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-03-02,70.9900,76.5000,69.8600,71.8000,2607036,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-03-05,72.4000,72.8500,69.0300,72.1900,1614068,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-03-06,71.0800,72.5000,70.5000,71.0100,1419317,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-03-07,71.2500,75.0000,71.2500,73.0900,1571054,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-03-08,73.8000,76.1500,73.8000,75.6600,1968097,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-03-09,75.4900,76.9900,74.5100,75.4900,1525450,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-03-12,75.9500,79.9800,75.7000,77.5100,2022998,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-03-13,79.0000,79.0200,76.0300,76.1900,1157769,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-03-14,76.0200,76.9800,75.0600,75.3000,1109389,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-03-15,75.4500,76.7800,73.8000,76.4000,851363,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-03-16,75.7300,79.8800,75.2600,78.7000,1575759,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-03-19,78.8000,79.0000,77.6600,79.0000,771946,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-03-20,78.6600,80.3900,78.0500,80.0000,1088743,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-03-21,80.5500,80.5500,78.6000,79.0400,2043998,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-03-22,78.6200,78.8500,77.0000,77.3000,1053913,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-03-23,71.0000,76.7000,71.0000,72.8900,2160369,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-03-26,71.0000,77.0000,66.5000,76.0800,4007566,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-03-27,74.9800,76.2000,73.0200,74.0000,3439658,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-03-28,72.1200,74.4000,70.2000,70.2000,1684078,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-03-29,70.5100,72.8500,70.5100,71.8000,2361855,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-03-30,72.4000,77.0800,72.4000,76.3500,2980292,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-04-02,76.5500,78.4900,74.4100,75.2300,2787624,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2018-04-03,73.7200,75.6700,73.1400,74.0100,1108192,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
