time,open,high,low,close,volume,note
2018-01-02,21.2000,21.9300,21.0200,21.3900,18234977,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2018-01-03,21.3400,21.5400,20.8800,21.3400,17286502,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2018-01-04,21.3100,21.9000,21.0000,21.3400,18384841,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2018-01-05,21.2500,21.3100,19.7200,20.0400,36824367,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2018-01-08,19.8800,20.1300,19.3100,19.9800,19531996,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2018-01-09,19.9000,20.2200,19.4900,19.8900,16114518,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2018-01-10,19.6700,19.9400,18.5000,18.8700,32322099,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2018-01-11,18.8000,19.3900,18.4200,18.9800,17790801,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2018-01-12,19.3900,19.4000,18.6600,18.9800,14528774,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2018-01-15,19.0900,19.5000,18.3800,19.0000,18344523,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2018-01-16,19.0000,19.2800,18.5300,18.8000,15708937,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2018-01-17,19.0800,20.2000,18.4500,19.7000,26853007,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2018-01-18,19.5900,20.1000,19.3800,19.7600,16255804,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2018-01-19,19.7900,20.2500,19.5500,19.8400,16981965,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2018-01-22,19.9000,20.8700,19.5500,20.5500,27235747,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
2018-01-23,20.4100,20.7800,20.2600,20.4600,14054093,sz.300316 | 晶盛机电 | baostock | adjustflag=3 raw
