time,open,high,low,close,volume,note
2018-01-02,22.3600,22.7700,22.2500,22.6300,813846,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-01-03,22.6400,23.3300,22.5400,23.1700,1503937,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-01-04,23.0600,23.2600,22.8900,23.0500,922505,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-01-05,23.0500,23.5200,23.0300,23.1300,956893,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-01-08,23.0100,23.1000,22.6200,22.8900,631554,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-01-09,22.8000,23.1000,22.7600,23.0000,571066,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-01-10,23.0000,23.0000,22.3000,22.6800,812657,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-01-11,22.5100,23.1400,22.4500,22.9300,998758,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-01-12,22.9500,23.0000,22.7000,22.7100,537250,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-01-15,22.5200,22.7400,21.7200,21.7700,965750,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-01-16,21.7700,22.0900,21.4500,21.6900,737571,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-01-17,21.7500,22.1500,21.4400,21.9300,849573,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-01-18,21.8300,21.9900,21.5000,21.5300,800548,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-01-19,21.5500,21.7700,21.3400,21.3500,737823,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-01-22,21.3500,21.5200,20.5900,21.4900,1109672,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-01-23,21.1900,21.1900,20.6200,20.6900,1582073,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-01-24,20.6800,20.8500,19.9800,20.7300,1777502,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-01-25,20.7000,21.3300,20.5100,20.8100,1868315,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-01-26,20.6100,20.9200,20.3800,20.4000,1249700,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-01-29,20.4400,20.4400,19.6000,19.6400,1599467,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-01-30,19.7000,19.7800,19.3000,19.4100,952300,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-01-31,19.3700,19.4100,17.8000,18.0800,1667897,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-02-01,18.1500,18.2300,17.0900,17.1200,1476113,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-02-02,17.1000,17.4300,16.7000,17.1700,1186600,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-02-05,16.8000,17.2800,16.7000,16.9100,701243,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-02-06,16.3200,16.7100,15.7200,15.7800,1402350,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-02-07,16.2600,16.2600,15.1200,15.8600,1324486,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-02-08,15.8000,16.4000,15.6000,16.2400,1255983,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-02-09,15.8000,16.1300,15.5100,15.8500,1073757,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-02-12,16.0500,16.5100,16.0000,16.3200,1003550,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-02-13,16.3900,16.3900,15.9000,15.9900,1317843,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-02-14,15.8400,16.0500,15.8400,15.8500,752450,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-02-22,16.0200,16.2900,15.8500,16.1700,1091182,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-02-23,16.2800,16.5000,16.0900,16.3900,1231354,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-02-26,16.5000,18.0300,16.5000,18.0300,2952460,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-02-27,18.2000,19.0300,18.1000,18.3600,5181196,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-02-28,18.0200,18.2700,17.6000,18.2500,2799652,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-03-01,17.9900,18.7000,17.8600,18.5900,2972158,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-03-02,18.3800,19.1600,18.2500,18.5000,3250337,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-03-05,18.4100,19.3000,18.2500,19.0300,3359587,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-03-06,19.3200,19.5600,18.5600,18.7200,4522763,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-03-07,18.6700,18.6700,18.2800,18.3200,2617021,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-03-08,18.2400,19.1900,18.2400,19.1800,3777022,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-03-09,19.3100,19.9300,19.0200,19.8500,4906186,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-03-12,19.9400,20.3200,19.6600,19.8900,4784984,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-03-13,19.9700,19.9700,19.4700,19.5200,3021137,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-03-14,19.4000,19.5500,19.0400,19.1200,2599140,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-03-15,18.8500,19.0000,18.3100,18.8600,2386852,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-03-16,18.9000,19.1200,18.6400,18.6600,1582522,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-03-19,18.6000,19.2800,18.5200,18.8800,1698986,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-03-20,18.0800,18.3800,17.7700,18.2800,4015713,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-03-21,18.3900,18.8500,18.2100,18.2300,2551358,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-03-22,18.2200,18.6300,18.1700,18.6000,1660822,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-03-23,17.9000,18.2200,16.8800,17.0500,2766408,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-03-26,16.8200,17.5000,16.2300,17.4500,1759080,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-03-27,17.5800,18.3100,17.5800,18.2700,2580929,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-03-28,17.9300,18.9700,17.9300,18.7900,3063220,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-03-29,18.8200,19.2300,18.4200,18.6800,1817933,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-03-30,18.6800,19.5000,18.6000,19.4900,3199463,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-04-02,19.8000,19.9800,19.1000,19.4100,3568363,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-04-03,19.1000,19.2800,18.6000,19.1400,1981377,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-04-04,19.0900,19.3900,18.4100,18.6000,2125653,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-04-09,18.6100,19.4100,18.1800,19.4100,2884545,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-04-10,19.4100,19.8000,19.1000,19.5800,3262883,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-04-11,19.6000,20.3500,19.4200,20.2000,3940696,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-04-12,20.0500,20.2500,19.6600,19.7400,2635079,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-04-13,19.8600,20.1700,19.6200,20.0200,2562748,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-04-16,20.0000,20.6200,19.8200,20.1700,2753137,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-04-17,20.8000,21.9800,20.1800,21.4400,8870264,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-04-18,22.0000,22.3000,20.5400,21.9200,9736742,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
2018-04-19,21.0100,21.5900,20.9800,21.0000,5338213,sz.300394 | 天孚通信 | baostock | adjustflag=3 raw
