time,open,high,low,close,volume,note
2018-01-02,20.1800,20.2400,19.6500,19.7800,11275609,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-01-03,19.8000,20.1100,19.2500,20.0000,15489102,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-01-04,19.8900,20.8500,19.8300,20.7200,13721885,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-01-05,20.7200,21.9500,20.6000,21.8600,33934852,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-01-08,21.7500,21.7500,21.2300,21.5800,9983448,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-01-09,21.5800,22.1900,21.5800,21.7400,14656992,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-01-10,21.7200,22.2500,21.5500,21.9600,11884445,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-01-11,22.0000,22.0300,21.7000,21.9400,6836436,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-01-12,21.8500,22.2000,21.6100,21.9700,8077234,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-01-15,21.9800,22.1900,20.3800,20.5000,16488527,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-01-16,20.2300,20.4900,19.8100,20.1300,21296628,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-01-17,20.0000,20.5800,19.4500,20.2900,13493333,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-01-18,20.4900,20.6100,19.8800,20.0000,7975453,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-01-19,20.0000,20.0800,19.7500,19.7700,6557636,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-01-22,19.6200,20.1500,19.4600,20.0300,9958194,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-01-23,20.1000,20.5900,19.8800,20.3100,12234337,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
