time,open,high,low,close,volume,note
2018-01-02,30.3800,30.4200,28.7200,28.9000,14167768,sz.300433 | 蓝思科技 | baostock | adjustflag=3 raw
2018-01-03,29.1000,31.2800,28.8900,31.0000,14130639,sz.300433 | 蓝思科技 | baostock | adjustflag=3 raw
2018-01-04,30.8100,31.6800,30.4000,31.1500,9838851,sz.300433 | 蓝思科技 | baostock | adjustflag=3 raw
2018-01-05,31.0000,31.3000,30.5800,30.6400,7001086,sz.300433 | 蓝思科技 | baostock | adjustflag=3 raw
2018-01-08,30.6000,30.6300,29.2400,29.8100,8548516,sz.300433 | 蓝思科技 | baostock | adjustflag=3 raw
2018-01-09,30.9000,31.5000,30.2200,30.5200,13251365,sz.300433 | 蓝思科技 | baostock | adjustflag=3 raw
2018-01-10,31.5100,31.8300,29.9300,31.0000,13609205,sz.300433 | 蓝思科技 | baostock | adjustflag=3 raw
2018-01-11,30.3400,30.6600,29.5800,30.2800,11114810,sz.300433 | 蓝思科技 | baostock | adjustflag=3 raw
2018-01-12,30.1300,30.1300,29.3600,29.5100,7909300,sz.300433 | 蓝思科技 | baostock | adjustflag=3 raw
2018-01-15,29.5100,29.7600,28.5700,28.8900,6737869,sz.300433 | 蓝思科技 | baostock | adjustflag=3 raw
2018-01-16,28.5600,28.8800,26.4000,26.7900,25422000,sz.300433 | 蓝思科技 | baostock | adjustflag=3 raw
2018-01-17,26.9800,27.7200,25.3600,26.9600,21001280,sz.300433 | 蓝思科技 | baostock | adjustflag=3 raw
2018-01-18,26.6800,27.3400,26.4800,26.6900,8657548,sz.300433 | 蓝思科技 | baostock | adjustflag=3 raw
2018-01-19,26.7300,27.0700,26.6300,26.7800,8733471,sz.300433 | 蓝思科技 | baostock | adjustflag=3 raw
2018-01-22,26.9800,27.1000,25.8000,26.5800,11716987,sz.300433 | 蓝思科技 | baostock | adjustflag=3 raw
2018-01-23,26.6300,26.8700,26.0600,26.1900,7295901,sz.300433 | 蓝思科技 | baostock | adjustflag=3 raw
2018-01-24,26.4100,27.6700,26.1500,27.1400,17769408,sz.300433 | 蓝思科技 | baostock | adjustflag=3 raw
2018-01-25,27.1400,27.6000,27.1000,27.1500,10092440,sz.300433 | 蓝思科技 | baostock | adjustflag=3 raw
