time,open,high,low,close,volume,note
2018-01-02,57.5700,60.4200,57.4500,59.8900,4089316,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-01-03,60.3000,63.3500,59.9200,62.8000,5921524,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-01-04,62.9800,64.9000,62.5000,62.9900,4401619,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-01-05,63.0000,64.3600,62.3500,62.4800,2989814,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-01-08,63.0500,63.6800,62.3000,63.5000,2819381,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-01-09,63.8000,64.0900,60.7500,61.8500,3253633,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-01-10,61.4000,61.7800,58.5300,59.0800,3215100,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-01-11,59.0800,62.0800,58.9000,62.0000,3418893,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-01-12,62.8000,64.1800,60.0800,60.1600,3229274,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-01-15,59.9200,59.9200,55.8600,56.2100,4479811,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-01-16,56.2500,57.5000,54.4500,55.0500,4171086,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-01-17,54.4800,54.4800,49.5500,53.3000,7457242,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-01-18,53.0000,53.7500,51.8000,53.3000,5196838,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-01-19,53.0000,54.6800,52.1000,53.0000,3721051,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-01-22,52.9800,54.2000,51.7000,53.1900,4727654,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-01-23,53.2400,53.9800,51.1600,51.4500,4036704,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-01-24,51.7200,52.5800,49.5000,51.8900,5768089,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-01-25,52.8300,55.6800,52.6100,52.8600,7240794,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-01-26,52.9500,55.2700,52.9500,55.1900,6681820,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-01-29,53.8000,53.9800,51.6100,51.8600,5921058,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-01-30,51.6000,53.0500,51.5100,52.4200,3274665,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-01-31,52.0200,53.1700,51.3000,52.8600,2938551,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-02-01,52.1000,53.4000,51.5100,52.4000,3148133,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-02-02,52.5300,53.8000,51.5000,52.0500,3215225,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-02-05,50.5000,51.1700,48.1300,48.9400,4972925,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-02-06,47.2500,48.6000,46.5000,47.7500,4300918,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-02-07,49.1600,49.5600,46.4600,48.5800,4006804,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-02-08,48.0100,53.1000,48.0000,52.1500,4151898,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-02-09,51.0100,54.8500,50.7000,54.0600,5733110,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-02-12,54.1900,59.3800,54.1900,58.1000,5537077,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-02-13,58.8000,59.3000,57.0000,57.6600,4425291,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-02-14,58.2900,59.2000,55.7500,58.3000,3332634,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-02-22,59.2000,60.5000,58.4000,58.6000,3742453,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-02-23,58.3400,58.3800,56.2100,57.9000,3890105,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-02-26,58.5000,62.5800,58.4800,61.4000,5544726,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-02-27,61.2500,63.5400,60.6000,61.2200,4643862,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-02-28,61.2500,63.9900,60.7000,63.3800,4289911,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-03-01,63.0000,64.0800,62.3800,63.6000,3156802,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-03-02,63.0100,67.0000,62.6000,66.4200,5340832,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-03-05,67.2000,73.0600,65.4600,70.4800,7637668,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-03-06,69.8000,72.0200,69.0000,69.5400,4081140,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-03-07,69.8500,70.5800,68.0000,70.5400,4219645,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-03-08,72.9700,74.9100,68.1600,68.4100,8899315,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-03-09,68.3700,75.2500,68.3700,74.8900,12308910,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-03-12,75.0100,76.9900,74.0100,74.4500,10976919,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-03-13,74.5400,77.7700,74.0100,74.6800,9146635,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-03-14,74.1000,77.7500,74.0200,74.3100,8356237,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-03-15,74.0100,76.2000,72.0000,74.8000,6246739,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-03-16,74.8800,76.3000,73.7700,73.8000,4663678,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-03-19,72.8000,74.0400,72.3500,72.9200,4128025,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-03-20,72.3500,73.4000,69.9000,72.5800,6469072,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-03-21,72.7400,73.8800,70.0100,70.0900,5408108,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-03-22,71.2300,71.4800,69.5900,70.9200,3760837,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-03-23,68.5600,70.2900,66.3400,67.1800,6488462,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-03-26,66.5200,71.9100,66.5200,71.6900,6848919,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-03-27,72.5800,76.5000,72.5500,76.2200,8415193,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-03-28,75.0200,77.4000,74.7700,74.8500,6015620,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-03-29,75.7300,76.5000,72.1000,73.9600,5051033,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-03-30,74.3000,76.7500,73.2600,76.6200,5294558,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-04-02,78.0500,78.8600,73.9000,74.1000,6843379,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-04-03,72.2900,72.8000,70.0000,72.6000,5231750,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-04-04,72.9900,73.1000,70.5000,71.0000,4053814,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-04-09,70.7400,72.3000,69.2000,69.4300,3325649,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-04-10,70.4500,71.6300,68.5800,71.2800,3483609,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-04-11,71.9100,71.9700,69.7300,70.4500,2906466,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-04-12,70.1100,70.7500,66.8800,67.6200,4718124,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-04-13,68.1200,68.4700,66.3800,67.3700,3487237,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-04-16,66.9800,67.4300,63.8600,65.0400,5409850,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-04-17,66.2000,66.6600,64.0100,65.7300,4231938,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-04-18,65.8000,65.8000,61.5000,64.5000,7141457,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-04-19,64.4300,64.8000,62.8300,63.6900,4327377,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-04-20,63.6000,64.6000,61.4000,61.7000,3849091,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-04-23,61.6900,63.4700,61.5300,62.7600,3530366,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-04-24,63.0000,65.3500,62.2000,65.1700,3846876,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-04-25,64.7800,65.3000,63.8500,64.3400,3509290,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-04-26,64.0000,64.7400,58.9400,59.0100,5606104,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-04-27,59.9000,62.9800,59.5100,62.7900,5025979,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-05-02,62.6400,65.4300,62.6000,65.2700,4820114,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-05-03,65.2600,66.3800,63.7800,65.7900,5187164,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-05-04,65.9300,67.4800,65.0000,65.0900,3650681,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-05-07,65.0600,71.6000,65.0500,70.6900,6979613,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-05-08,70.1200,72.4800,69.4000,70.0600,6268235,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-05-09,70.1000,73.5800,70.1000,72.1500,5498176,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-05-10,72.0000,73.5800,71.5000,73.5100,4029285,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-05-11,73.6600,75.1900,72.3700,72.5700,5587956,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-05-14,72.7200,73.3600,68.0100,69.3000,7286714,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-05-15,69.3400,74.1400,69.3400,74.0000,5618967,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-05-16,73.5800,73.7800,70.2900,70.4200,5530877,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-05-17,71.4000,72.7700,68.8500,70.0000,4733949,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-05-18,70.6700,70.6700,68.5000,69.7000,3284811,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-05-21,71.1000,72.7000,69.7000,70.2400,4464035,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-05-22,70.5000,70.8900,68.6600,70.8800,3384126,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-05-23,70.7000,70.8700,68.9300,69.3200,4341825,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-05-24,34.9500,35.2700,33.5700,34.3200,9988559,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-05-25,34.2100,34.2100,32.3600,32.7000,9653720,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-05-28,32.7000,33.1400,31.3000,32.0000,9122041,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-05-29,32.0900,33.2400,32.0900,32.6300,5816069,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-05-30,31.6100,32.5600,30.7600,31.0700,7685047,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-05-31,31.5200,31.9800,30.2200,30.4700,8529665,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-06-01,30.3100,31.3000,30.0700,30.8100,6989274,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-06-04,30.4700,31.0000,29.5000,30.1300,7928542,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-06-05,30.2200,31.6500,30.2200,31.6100,8952052,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-06-06,31.7900,32.9700,31.3200,32.5000,10031497,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-06-07,32.5300,33.4400,32.2000,32.8000,6554680,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-06-08,32.5000,33.3900,32.3200,33.3400,7129141,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-06-11,33.5000,33.8100,31.3200,31.7800,11524341,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-06-12,31.5000,31.7200,30.3300,31.3500,9431839,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-06-13,30.9900,31.3000,30.6100,30.6900,4384285,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-06-14,30.7000,31.3300,30.6000,30.9100,5252580,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-06-15,30.8600,30.9100,29.8000,30.1700,6406356,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-06-19,29.1000,29.9400,27.2200,27.7100,9245867,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-06-20,27.7700,28.5800,27.6200,28.1100,7144291,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-06-21,28.1100,28.2800,26.8700,26.8800,7189077,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-06-22,26.6000,28.5800,26.3000,28.1000,8753294,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-06-25,28.6100,28.9500,28.1000,28.3400,6356389,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-06-26,27.7200,28.8600,27.6200,28.8500,6032034,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-06-27,28.9000,29.1200,28.0800,28.2000,5797484,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-06-28,28.1000,28.8100,28.0700,28.3200,4505176,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-06-29,28.5000,30.4800,28.2800,30.2400,7294697,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-07-02,30.0300,30.8300,29.7200,30.1000,6085460,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-07-03,30.2000,31.3600,29.4500,30.8100,7976631,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-07-04,30.5000,31.0400,29.0200,29.4400,7800052,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-07-05,29.3000,30.0900,29.1500,29.3000,5396050,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-07-06,29.2100,30.0000,28.0000,28.4900,8984428,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-07-09,28.3300,30.4800,28.3300,30.1800,7872078,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-07-10,30.9000,31.3000,29.9500,30.5000,7978848,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-07-11,29.5000,31.5500,29.1000,31.0000,11812180,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-07-12,30.8500,32.2800,30.6600,32.1800,11675732,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-07-13,32.5900,32.9500,32.0000,32.0000,10498100,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-07-16,31.9900,32.3600,31.0300,31.5000,6727973,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-07-17,31.6500,32.0000,31.0300,31.8900,6723061,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-07-18,32.1000,32.9600,31.7700,31.7800,10266646,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-07-19,31.9000,32.2000,30.9000,31.8500,7625890,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-07-20,31.6000,32.8000,31.4000,32.4200,8165152,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-07-23,32.3500,33.5900,32.1000,32.8800,7971024,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
2018-07-24,32.6100,33.3000,32.4200,32.7300,7196469,sz.300450 | 先导智能 | baostock | adjustflag=3 raw
