time,open,high,low,close,volume,note
2018-05-16,36.0800,43.3000,36.0800,43.3000,24566,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2018-05-17,47.6300,47.6300,47.6300,47.6300,8804,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2018-05-18,52.3900,52.3900,52.3900,52.3900,13870,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2018-05-21,57.6300,57.6300,57.6300,57.6300,19623,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2018-05-22,63.3900,63.3900,63.3900,63.3900,55944,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2018-05-23,69.7300,69.7300,69.7300,69.7300,55773,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2018-05-24,76.7000,76.7000,76.7000,76.7000,60211,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2018-05-25,84.3700,84.3700,84.3700,84.3700,158820,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2018-05-28,92.8100,92.8100,92.8100,92.8100,245978,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2018-05-29,102.0900,102.0900,102.0900,102.0900,479528,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2018-05-30,112.3000,112.3000,103.0000,103.9500,21212162,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2018-05-31,114.3500,114.3500,111.3800,114.3500,23146994,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2018-06-01,118.0000,122.2200,109.0000,110.9000,17573771,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2018-06-04,114.0100,119.5700,110.9300,114.5000,13573406,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2018-06-05,112.8300,125.9500,110.1000,125.9500,14208052,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2018-06-06,129.0000,130.7000,121.0500,123.5000,15081683,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2018-06-07,123.2000,125.2700,118.5900,123.4000,10187291,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2018-06-08,122.3300,128.8500,121.6000,123.2000,9970464,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2018-06-11,118.1100,119.6500,112.1700,118.3900,11679011,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2018-06-12,117.0000,118.5000,112.2000,115.4800,7855266,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2018-06-13,113.1100,127.0300,111.2300,119.5300,13820431,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2018-06-14,120.0000,130.9300,120.0000,123.6400,12410396,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2018-06-15,121.6800,128.5800,116.1200,123.6500,10846073,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2018-06-19,121.6000,129.9700,114.4000,118.0100,11549610,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2018-06-20,117.5300,129.8100,113.0000,127.2300,16391878,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2018-06-21,125.2300,126.9800,114.5100,114.5100,16708937,sz.300454 | 深信服 | baostock | adjustflag=3 raw
