time,open,high,low,close,volume,note
2018-01-02,28.8700,29.0800,28.1200,28.4200,4216908,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-01-03,28.5600,29.6600,28.4400,29.5800,7221274,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-01-04,29.5600,29.5600,28.6600,28.8600,6652103,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-01-05,28.8100,29.1000,28.2100,28.2700,3958895,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-01-08,28.3300,28.3300,25.4500,25.5000,9944507,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-01-09,25.4000,26.1000,25.1300,25.9600,4349011,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-01-10,25.7600,26.0300,25.5500,25.7000,3323051,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-01-11,25.7500,26.3000,25.6000,25.9400,2973169,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-01-12,25.9900,26.0000,24.6000,24.6000,5035200,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-01-15,25.0300,25.1800,23.1000,23.4700,5972423,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-01-16,23.8000,24.1500,23.4800,23.7100,3708356,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-01-17,22.9900,24.1500,22.0000,23.4800,5893273,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-01-18,23.6400,24.5800,23.6400,24.0700,5252929,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-01-19,24.0500,24.6500,23.5000,23.5900,3900355,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-01-22,24.2800,24.6500,23.7500,24.3600,4342954,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-01-23,24.3200,25.2000,24.3100,24.6500,4326532,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-01-24,24.7000,25.3200,24.1000,25.1000,4725285,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-01-25,25.0000,25.2600,24.3400,24.3400,3874982,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-01-26,24.3300,24.6200,23.8100,23.9000,2085620,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-01-29,23.9000,23.9000,22.9000,23.2900,3037289,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-01-30,23.1500,23.6600,23.1500,23.4700,1884603,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-01-31,23.8000,23.8000,22.6900,22.7000,2016283,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-02-01,22.5000,22.9400,21.5000,21.7000,2457268,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-02-02,21.5100,22.2000,21.0500,21.9700,1882123,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-02-05,21.6200,22.3100,21.4000,21.8100,2163540,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-02-06,21.3600,22.2000,20.8100,20.9900,2332285,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-02-07,21.8400,21.8400,20.0000,21.4100,2416169,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-02-08,21.4000,22.8800,21.3500,22.6600,3747099,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-02-09,22.2800,23.2500,21.9000,22.3700,4303573,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-02-12,22.8000,23.4000,22.6000,23.2500,3571587,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-02-13,23.3000,23.3000,22.6100,22.7500,2563600,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-02-14,22.6900,22.9400,22.2100,22.4600,1442700,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-02-22,22.8000,23.6000,22.2200,23.3100,2412651,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-02-23,23.1800,23.5000,23.0000,23.3200,1918751,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-02-26,23.5800,25.5200,23.2500,25.1800,5954335,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-02-27,24.8800,26.2000,24.5200,25.5100,7061972,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-02-28,25.1000,26.3400,24.8000,25.8100,5647213,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-03-01,25.7000,26.2600,25.5100,26.1600,3741289,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-03-02,25.9400,26.2300,24.9000,25.1300,4397397,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-03-05,25.0200,26.8200,25.0200,26.7000,6289300,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-03-06,26.9000,27.4800,26.2100,26.4600,5576133,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-03-07,26.3000,26.6100,25.5700,26.0200,3816136,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-03-08,25.8800,26.2900,25.5800,26.2400,3023272,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-03-09,26.0800,27.4000,26.0000,27.2600,6976731,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-03-12,27.2700,27.7400,26.7000,27.2800,6183189,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-03-13,26.9100,27.2900,26.5900,26.5900,4073546,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-03-14,26.4100,26.6300,26.0200,26.0300,3219272,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-03-15,25.8000,26.0100,25.2200,25.8400,2999603,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-03-16,25.8900,25.9800,25.3400,25.3500,2039600,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-03-19,25.1900,25.8200,25.1800,25.4100,2052080,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-03-20,25.1600,25.3400,23.9300,24.3900,4470100,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-03-21,24.5400,25.0500,24.0500,24.1200,3189700,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-03-22,24.0300,24.3700,23.4000,23.9500,4653192,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-03-23,23.0000,23.1700,21.5600,21.6800,5398558,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-03-26,21.1500,22.0600,20.3000,21.9900,4338315,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-03-27,22.1800,23.1000,22.1800,22.9000,5062514,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-03-28,22.4000,23.4500,22.2200,22.5200,4701315,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-03-29,22.7900,23.1800,22.5200,22.7400,3801965,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-03-30,22.9300,23.9500,22.8300,23.8900,5712074,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-04-02,23.9000,25.2100,23.5500,25.1000,7807750,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-04-03,24.5200,24.8800,24.0000,24.7700,5816170,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-04-04,24.6100,24.9700,24.1900,24.1900,3760881,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-04-09,24.0000,24.4000,23.0000,23.6600,3542767,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-04-10,22.3600,22.6700,21.2900,21.2900,7928712,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-04-11,20.9800,21.5600,20.7500,21.4100,6129629,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-04-12,21.2200,21.4300,20.9500,21.0700,3320147,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-04-13,21.2800,21.3500,20.8000,20.8500,3147059,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-04-16,20.8500,21.4900,20.6500,21.4000,3760585,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-04-17,23.5400,23.5400,22.1400,22.4500,13119848,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-04-18,24.7000,24.7000,23.0800,24.7000,19861041,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-04-19,25.5000,25.5000,23.8800,24.3400,24819352,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2018-04-20,23.4000,23.6200,22.4500,22.7000,12890424,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
