time,open,high,low,close,volume,note
2018-01-02,133.9200,134.9700,133.3000,134.7200,572975,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-01-03,134.2500,135.9900,134.1800,135.9800,815711,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-01-04,135.6400,135.8900,134.6200,134.7700,537904,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-01-05,134.7000,135.8700,134.4800,134.7400,564700,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-01-08,134.7000,134.7000,130.2000,131.0100,1135764,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-01-09,131.0100,131.7300,129.6800,130.0900,720275,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-01-10,129.8000,130.8000,128.4700,129.5400,641576,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-01-11,129.1700,131.5900,128.2200,131.0000,593921,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-01-12,131.3500,132.2500,130.4300,130.6800,527045,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-01-15,130.2100,130.2100,121.4300,121.6000,1866191,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-01-16,119.9700,123.7000,119.1900,119.9900,954640,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-01-17,119.5700,123.5800,118.8500,121.3000,1094855,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-01-18,122.1900,122.8900,120.5000,121.0500,1011478,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-01-19,119.6100,120.9300,119.6100,120.1700,804944,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-01-22,121.3500,121.3900,116.5600,120.1700,1050005,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-01-23,119.6800,120.7600,118.6800,119.5800,691311,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-01-24,119.6900,124.9800,118.5000,123.8500,1328617,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-01-25,123.0100,125.5000,121.4000,121.9000,1060970,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-01-26,122.0000,122.5400,119.9700,120.0800,757200,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-01-29,119.5000,119.9800,117.7000,118.1000,773812,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-01-30,117.6000,119.5900,117.5500,118.8000,474167,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-01-31,118.2200,118.2200,113.6600,113.6600,1031048,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-02-01,113.3800,114.8000,106.6000,108.3800,1157483,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-02-02,108.2800,108.7700,104.5000,104.9000,925873,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-02-05,103.5000,104.9800,100.0000,104.8500,929722,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-02-06,103.0000,103.5800,99.5100,99.5100,1004108,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-02-07,102.3900,102.8300,98.8000,101.1000,910951,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-02-08,100.2500,102.8400,100.2500,101.6400,591225,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-02-09,98.7900,101.2700,98.3800,99.3600,795434,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-02-12,100.2700,106.5000,100.2500,104.9300,1061849,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-02-13,105.6000,113.9900,105.0300,111.9700,1695494,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-02-14,111.1800,112.0500,108.5700,111.3000,654545,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-02-22,112.1000,113.2800,110.2300,111.5500,450623,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-02-23,111.0000,112.5500,109.0100,112.0700,581535,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-02-26,113.0100,117.6000,111.5700,116.8700,1007661,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-02-27,117.0000,118.8000,114.9000,114.9300,863541,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-02-28,114.7000,118.1800,113.1000,115.7000,1012175,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-03-01,115.7000,118.3200,114.3000,118.0100,1025171,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-03-02,116.9300,119.9900,116.5100,117.9000,751275,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-03-05,118.0700,121.4300,117.6100,121.3500,1006467,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-03-06,121.3900,133.4900,121.3600,129.3100,3211205,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-03-07,128.6600,132.0300,126.9800,127.0000,1511370,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-03-08,128.9300,130.1000,125.7000,126.2800,974247,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-03-09,126.5900,133.3900,125.9000,133.1500,2222575,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-03-12,133.5000,136.7900,133.3000,135.1800,2157040,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-03-13,135.0000,135.2800,132.0100,133.5000,1104190,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-03-14,131.9700,133.2000,129.8800,130.0000,1114291,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-03-15,129.9900,132.2500,126.6100,130.5700,1092060,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-03-16,129.8400,132.9600,129.5100,130.0100,704000,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-03-19,129.7100,136.3000,129.5200,133.0700,1107706,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-03-20,132.7500,136.5800,132.0000,134.2800,1159400,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-03-21,134.9800,135.2000,127.6800,127.6900,1168400,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-03-22,128.0800,134.5000,128.0800,133.2000,1498224,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-03-23,128.9000,128.9000,119.8800,119.8800,2008500,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-03-26,116.0500,119.8800,112.8700,119.5600,1981691,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-03-27,121.0000,128.1800,121.0000,126.5000,1528935,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-03-28,123.5000,126.6500,123.0000,123.8200,757700,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-03-29,125.0000,125.4000,119.6400,120.4900,1360554,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-03-30,121.2000,128.3700,121.2000,127.4300,1837196,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-04-02,128.9800,133.3800,127.9000,128.9200,1660302,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-04-03,126.4400,128.8900,121.7100,124.7300,1718718,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-04-04,127.0000,135.4000,126.9800,129.8300,2985582,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-04-09,129.8600,130.5300,124.7500,127.6000,1711280,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-04-10,130.3800,137.7500,129.5000,136.9000,3157859,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-04-11,137.0000,138.5800,135.5300,137.1900,1810838,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-04-12,137.6000,142.7000,136.8000,138.1100,2150998,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-04-13,138.9000,140.3900,136.6700,138.9700,1022546,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-04-16,137.5000,150.2000,137.0000,147.0000,2445235,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-04-17,148.0000,148.4000,138.1800,138.8300,2048343,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-04-18,138.0000,142.7500,133.4300,139.7500,1663915,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-04-19,139.0000,149.9900,138.8800,144.8400,1734321,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-04-20,144.0000,144.2200,136.3800,136.6100,2086458,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-04-23,137.0400,139.1600,132.6000,135.8000,1085591,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-04-24,136.6000,141.7000,135.4000,140.5100,1042821,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-04-25,147.9400,151.8400,142.0800,142.9800,2477146,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-04-26,142.8000,146.6700,141.8900,142.0100,1193935,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-04-27,143.3100,144.4900,138.1000,143.1800,1018904,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-05-02,142.5000,146.5000,139.2000,141.3000,1035531,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-05-03,141.3000,144.2200,137.5800,143.8500,947806,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-05-04,143.8800,144.3000,138.8000,139.0900,1064546,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-05-07,139.7700,142.8700,136.8900,141.9400,1074017,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-05-08,141.4500,143.3000,139.9000,142.7900,843103,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-05-09,142.8900,146.8300,142.2000,145.4000,1130527,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-05-10,145.0200,146.4300,142.8800,145.1000,817584,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-05-11,145.7000,146.3100,140.0000,141.1900,1106035,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-05-14,140.1300,144.3500,140.1300,143.0500,879735,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-05-15,143.0000,145.7000,142.5100,145.6000,758941,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-05-16,144.5000,145.5800,143.0000,143.0900,820182,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-05-17,143.2700,143.9900,142.0000,142.5500,693175,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-05-18,142.8500,143.3900,139.7000,141.6000,822385,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-05-21,143.2300,147.9900,142.9100,147.2400,1729757,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-05-22,146.8300,151.5000,146.3500,149.9300,1956412,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-05-23,150.2800,155.1700,150.0000,152.7300,1851064,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-05-24,153.7800,154.9800,151.0000,151.7800,1236992,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-05-25,151.1600,152.8800,143.6500,144.8000,2015998,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-05-28,71.1000,71.6800,67.2000,69.1200,3045152,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-05-29,69.5000,72.4000,68.5000,70.7600,2691156,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-05-30,68.5000,69.6700,66.7900,67.6200,2618848,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-05-31,68.8100,69.3400,65.8200,67.1200,2250744,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-06-01,66.5000,68.3000,65.2300,66.4200,1593860,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-06-04,67.0800,67.0800,64.6600,66.4400,1359259,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-06-05,66.3700,68.7300,66.0100,68.6300,1644112,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-06-06,68.2300,70.6400,68.0000,69.7700,1753577,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-06-07,69.8500,69.9900,67.7300,67.7800,1325082,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-06-08,67.3000,68.6700,66.9100,67.8000,917370,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-06-11,68.4000,68.4000,66.1500,66.4800,975595,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-06-12,66.6000,67.6100,63.0500,66.0000,2237988,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-06-13,65.4800,66.6600,63.6500,65.4000,1733083,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-06-14,64.5500,65.9800,64.4200,65.3700,1050879,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-06-15,65.3000,65.3800,64.2000,65.2100,1323010,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-06-19,63.9500,63.9500,58.6900,58.6900,2931101,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-06-20,58.5800,61.4100,58.0300,61.0000,1659116,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-06-21,61.1000,61.6400,59.2300,60.0200,1148380,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-06-22,60.4700,61.7600,59.4000,61.5400,1174521,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-06-25,62.0000,62.8000,61.4100,62.0100,970763,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-06-26,61.4900,64.2500,60.2100,63.8300,1546740,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-06-27,63.9000,64.4700,63.2800,63.8000,1101997,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
2018-06-28,63.9600,65.0300,63.3800,63.7800,880010,sz.300628 | 亿联网络 | baostock | adjustflag=3 raw
