time,open,high,low,close,volume,note
2018-11-09,68.0200,81.6200,68.0200,81.6200,38900,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2018-11-12,89.7800,89.7800,89.7800,89.7800,19400,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2018-11-13,98.7600,98.7600,98.7600,98.7600,50200,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2018-11-14,108.6400,108.6400,108.6400,108.6400,47253,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2018-11-15,119.5000,119.5000,110.1000,119.5000,7825468,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2018-11-16,115.0000,119.5800,115.0000,115.5000,4820717,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2018-11-19,117.4100,122.2200,117.0000,118.8000,3706130,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2018-11-20,118.0200,121.1500,116.4800,120.1000,3514229,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2018-11-21,118.0000,118.8800,111.5100,116.0000,3684505,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2018-11-22,115.6000,118.5000,113.6800,114.0100,2177566,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2018-11-23,114.0000,116.7700,113.0000,114.9500,2727038,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2018-11-26,114.0000,123.9000,114.0000,121.0000,4052458,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2018-11-27,126.0000,128.7000,118.3100,119.3000,4428147,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2018-11-28,123.3900,131.2300,122.1000,131.2300,3818348,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2018-11-29,129.0000,131.7700,127.0200,127.7800,3134951,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2018-11-30,127.0000,128.9000,122.5100,127.7800,2726573,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2018-12-03,130.0000,135.4000,126.7500,129.4000,3101303,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2018-12-04,128.4000,131.3000,126.5400,128.1400,1969521,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2018-12-05,125.0000,131.2500,124.4100,131.1800,2249142,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2018-12-06,129.6000,132.5500,126.5800,127.8000,2029760,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2018-12-07,128.7800,129.2300,126.0000,127.8100,1120697,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2018-12-10,127.1500,130.9400,127.1500,128.4000,1313658,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2018-12-11,128.7300,130.3000,123.6700,124.2600,2148275,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2018-12-12,124.9000,125.5500,120.5900,122.0800,1683011,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2018-12-13,121.5800,123.0000,118.8000,121.5000,1485706,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2018-12-14,120.7500,122.4400,116.2000,116.2000,1378015,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2018-12-17,115.0100,117.3900,114.1100,117.0900,1008300,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2018-12-18,115.5700,117.4600,114.2900,115.1000,758200,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2018-12-19,115.5100,116.4000,107.0700,108.4500,1733504,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2018-12-20,108.0000,110.3000,107.6000,109.8500,1003144,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2018-12-21,109.1100,112.7400,109.1100,112.2200,1043828,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2018-12-24,111.5000,117.3300,111.1800,116.0600,1068071,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2018-12-25,114.9600,117.6100,112.8200,116.9400,953257,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2018-12-26,117.4300,118.8800,115.6500,115.7100,1068667,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2018-12-27,117.9400,119.4800,116.5100,116.7500,1215874,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2018-12-28,116.8000,120.0800,116.2500,119.7200,934030,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-01-02,120.5000,128.2900,119.8400,125.6900,1078680,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-01-03,125.0000,128.8800,124.8000,126.6100,1093938,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-01-04,126.0100,135.6600,126.0000,135.3600,1315805,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-01-07,135.0000,148.8900,134.0200,143.9600,1458038,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-01-08,142.5100,145.7800,139.9900,143.0000,949877,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-01-09,143.9700,145.4500,138.5000,139.0500,954913,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-01-10,141.6200,146.3000,140.1000,142.1200,1067310,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-01-11,140.0000,141.4700,134.5000,139.4900,1555963,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-01-14,139.0300,143.8800,137.6400,140.0000,699513,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-01-15,139.0000,144.3200,137.0300,144.1300,872678,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-01-16,143.0300,156.0000,143.0300,145.3000,1172143,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-01-17,147.5200,148.9500,143.2500,145.9100,739272,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-01-18,142.0000,145.9000,137.0000,142.2000,1015125,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-01-21,142.0900,145.5200,142.0900,142.5900,470450,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-01-22,143.8700,153.7400,142.1200,153.6000,1222964,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-01-23,153.6000,155.6600,148.0000,153.4800,960586,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-01-24,152.1200,153.7900,147.6600,153.4000,915876,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-01-25,153.2000,166.2500,152.0300,162.1000,1166098,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-01-28,161.3400,169.9300,158.3800,167.9000,976646,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-01-29,166.6000,169.7700,160.0200,165.8500,882928,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-01-30,165.0200,168.4700,149.2700,149.3000,1648045,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-01-31,148.9600,152.9400,147.3000,148.7500,768103,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-02-01,149.7200,160.0000,146.0400,158.0800,874678,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-02-11,158.3800,169.8000,157.5100,164.2100,902238,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-02-12,165.9000,173.2200,164.0000,173.0000,1090386,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-02-13,177.0000,177.0000,168.0100,171.3900,934581,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-02-14,170.0500,172.1000,167.1100,171.8300,879812,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-02-15,171.8000,176.0100,170.0000,170.0000,837833,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-02-18,169.5800,174.7700,167.8900,173.0000,726614,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-02-19,175.0100,183.6600,173.2200,176.1000,1102267,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-02-20,174.9900,176.1000,170.0000,175.5000,792608,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-02-21,174.0000,183.2000,173.4600,182.8900,996683,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-02-22,181.1600,189.4800,179.0100,187.3500,706773,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-02-25,188.9800,206.0900,187.0700,206.0900,922035,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-02-26,185.4800,188.0000,185.4800,185.4800,905800,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-02-27,176.3800,179.8800,166.9300,166.9300,3009915,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-02-28,162.0000,173.2900,160.0200,169.6600,2125313,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-03-01,168.0200,169.7800,164.1300,166.8100,1151435,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-03-04,167.5300,175.1300,165.0000,172.8600,1537055,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-03-05,171.1000,175.4000,167.3100,172.2900,1088364,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-03-06,173.0000,173.0000,168.0000,170.8300,1175407,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-03-07,169.0100,175.5500,169.0100,174.0000,1414785,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-03-08,170.7100,172.6600,162.0700,162.0700,1249744,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-03-11,159.1000,172.3400,159.1000,171.8600,1146404,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-03-12,171.8200,173.7000,169.9900,170.0000,1000139,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-03-13,170.0000,173.8300,164.9000,165.2200,686942,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-03-14,164.5300,172.7000,164.5300,166.7100,884286,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2019-03-15,167.0300,171.9700,166.7000,169.6700,597761,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
