time,open,high,low,close,volume,note
2019-01-28,9.1900,11.0300,9.1900,11.0300,47270,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2019-01-29,12.1300,12.1300,12.1300,12.1300,31944,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2019-01-30,13.3400,13.3400,13.3400,13.3400,52131,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2019-01-31,14.6700,14.6700,14.6700,14.6700,144864,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2019-02-01,16.1400,16.1400,16.1400,16.1400,216435,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2019-02-11,17.7500,17.7500,17.7500,17.7500,129382,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2019-02-12,19.5300,19.5300,19.5300,19.5300,175669,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2019-02-13,21.4800,21.4800,21.4800,21.4800,968004,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2019-02-14,23.6300,23.6300,23.6300,23.6300,497534,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2019-02-15,25.9900,25.9900,25.9900,25.9900,416289,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2019-02-18,28.5900,28.5900,28.5900,28.5900,386812,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2019-02-19,31.4500,31.4500,31.4500,31.4500,607835,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2019-02-20,34.6000,34.6000,34.6000,34.6000,420632,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2019-02-21,38.0600,38.0600,35.5100,37.3900,49403889,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2019-02-22,36.8200,37.8000,36.2600,37.2900,28937978,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2019-02-25,36.6600,41.0200,36.6600,39.5000,41628062,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2019-02-26,39.0300,42.9900,37.5300,37.8800,33723125,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2019-02-27,37.5000,41.6700,37.1000,41.6700,27249306,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2019-02-28,39.0000,40.2300,37.8000,38.8000,26774046,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2019-03-01,40.2000,42.3800,39.4300,41.1400,28050195,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2019-03-04,40.8000,44.8900,40.4000,42.4600,29386256,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2019-03-05,41.6400,42.3200,41.1700,41.9800,19892206,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2019-03-06,41.7600,44.2000,41.7500,42.3600,24569929,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2019-03-07,41.5800,45.8600,40.7600,44.2000,28662989,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2019-03-08,42.5800,42.8000,39.7800,39.7800,23042921,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2019-03-11,39.1100,40.7900,39.0000,40.6600,14420455,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2019-03-12,41.0000,42.2400,40.0000,41.2000,15087786,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2019-03-13,40.7900,42.4900,39.5000,39.5900,13216954,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
