time,open,high,low,close,volume,note
2018-10-16,58.5600,70.2700,58.5600,70.2700,419948,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2018-10-17,77.3000,77.3000,77.3000,77.3000,186547,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2018-10-18,85.0300,85.0300,73.3800,80.9700,55718541,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2018-10-19,79.5000,89.0700,79.4000,89.0700,35319206,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2018-10-22,94.0000,97.9800,92.0100,97.9800,17685766,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2018-10-23,102.0000,105.8000,94.6700,94.7000,32962614,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2018-10-24,95.3900,100.5000,95.2000,97.0500,24149984,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2018-10-25,93.1200,101.3700,93.1200,99.5800,19315338,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2018-10-26,99.8000,103.0000,92.5100,97.2000,18272124,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2018-10-29,96.5000,98.3600,94.0100,97.5200,10286018,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2018-10-30,96.5000,99.9000,92.7100,97.3500,14005735,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2018-10-31,97.8000,101.9400,97.8000,99.0000,13522723,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2018-11-01,100.9800,105.6000,99.1000,102.3300,15664145,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2018-11-02,106.2900,107.3800,102.6700,105.4000,16217663,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2018-11-05,104.8800,106.5700,99.4500,102.4200,13349537,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2018-11-06,100.7000,112.6600,99.8500,112.6600,13529740,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2018-11-07,112.6500,113.6800,108.7000,110.0000,11559522,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2018-11-08,112.0000,112.9900,107.7900,109.2800,9042712,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2018-11-09,107.5000,113.8000,107.0000,110.7800,8703255,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
