time,open,high,low,close,volume,note
2019-03-19,31.9700,38.3600,31.9700,38.3600,9612,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2019-03-20,42.2000,42.2000,42.2000,42.2000,2700,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2019-03-21,46.4200,46.4200,46.4200,46.4200,4285,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2019-03-22,51.0600,51.0600,51.0600,51.0600,24426,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2019-03-25,56.1700,56.1700,56.1700,56.1700,45100,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2019-03-26,61.7900,61.7900,61.7900,61.7900,76900,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2019-03-27,67.9700,67.9700,67.9700,67.9700,131028,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2019-03-28,74.7700,74.7700,70.0000,70.2800,11463821,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2019-03-29,67.2000,67.9000,64.4500,66.9200,7199878,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2019-04-01,66.0000,69.0800,65.0200,67.4900,6683334,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2019-04-02,67.4500,67.4500,65.8300,66.7300,5148262,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2019-04-03,66.4000,66.4000,64.6500,64.9100,4514438,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2019-04-04,64.6500,67.0300,64.6500,66.5200,4790070,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2019-04-08,66.3000,67.5000,65.3000,65.3300,4325684,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2019-04-09,64.4000,64.4000,60.5000,61.1900,4163618,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2019-04-10,61.1000,61.7800,60.5700,61.0000,1906589,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2019-04-11,61.3800,61.4800,59.6700,60.0000,2008331,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2019-04-12,59.9900,60.4900,57.6100,58.6900,2424169,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2019-04-15,58.8500,59.7300,58.5100,58.6000,1641019,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2019-04-16,58.5600,59.5000,57.0000,59.4900,2124502,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2019-04-17,59.1900,59.8900,58.9900,59.4400,1713881,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2019-04-18,59.4500,59.6800,58.5200,59.0400,1590335,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2019-04-19,58.4600,59.6800,58.3100,59.5900,1562104,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2019-04-22,59.5900,59.5900,57.5700,58.0600,1762958,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2019-04-23,57.5700,59.5500,57.1600,58.2800,1961551,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2019-04-24,57.6300,58.2500,55.1500,56.3600,1972787,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2019-04-25,55.9900,56.3900,51.8100,52.0400,2238938,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2019-04-26,51.8200,51.8400,50.3000,50.9200,1720030,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2019-04-29,50.9200,51.4800,47.4300,47.4700,1860787,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2019-04-30,47.5300,48.4400,47.2500,47.6500,1048196,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2019-05-06,44.2400,46.0000,42.9500,44.0800,1584277,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
