time,open,high,low,close,volume,note
2019-04-15,50.1400,60.1600,50.1400,60.1600,8100,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-04-16,66.1800,66.1800,66.1800,66.1800,3000,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-04-17,72.8000,72.8000,72.8000,72.8000,3300,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-04-18,80.0800,80.0800,80.0800,80.0800,16203,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-04-19,88.0900,88.0900,88.0900,88.0900,40797,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-04-22,96.9000,96.9000,96.9000,96.9000,38900,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-04-23,106.5900,106.5900,106.5900,106.5900,77000,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-04-24,117.2500,117.2500,113.0000,117.2500,4720788,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-04-25,116.9000,123.8000,115.2000,119.0000,6381561,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-04-26,111.0100,113.9000,107.1000,107.1000,4454127,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-04-29,103.9800,105.5000,96.3900,96.4000,3637072,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-04-30,95.5000,99.2900,94.3000,95.7400,2279962,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-05-06,91.0000,94.7500,88.8700,92.1800,2364525,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-05-07,92.8000,94.4400,91.2500,93.5700,1974421,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-05-08,90.4300,96.1000,89.8800,93.2900,1933092,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-05-09,92.1300,96.5900,91.5900,91.5900,2081349,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-05-10,92.9900,94.5600,89.5000,94.1000,2271821,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-05-13,96.0000,99.9800,96.0000,96.1000,2499032,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2019-05-14,93.6900,93.8000,91.0000,92.3200,1907244,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
