time,open,high,low,close,volume,note
2019-06-18,42.3500,50.8200,42.3500,50.8200,39796,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-06-19,55.9000,55.9000,55.9000,55.9000,18272,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-06-20,61.4900,61.4900,61.4900,61.4900,17991,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-06-21,67.6400,67.6400,67.6400,67.6400,34593,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-06-24,74.4000,74.4000,74.4000,74.4000,147502,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-06-25,81.8400,81.8400,81.8400,81.8400,136930,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-06-26,90.0200,90.0200,90.0200,90.0200,87662,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-06-27,99.0200,99.0200,99.0200,99.0200,121686,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-06-28,108.9200,108.9200,108.9200,108.9200,282635,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-07-01,119.8100,119.8100,119.8100,119.8100,158228,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-07-02,131.7900,131.7900,131.7900,131.7900,306093,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-07-03,144.9700,144.9700,136.8100,144.9700,16198740,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-07-04,150.0000,159.4700,148.2000,159.4700,11131589,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-07-05,175.4200,175.4200,175.4200,175.4200,762628,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-07-08,186.9800,192.9600,176.1000,185.1900,10873114,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-07-09,188.0000,188.1000,176.0200,180.0000,6372042,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-07-10,184.3100,190.5000,180.7000,189.5000,6594697,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-07-11,186.0000,193.7900,183.5100,189.0000,5889802,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-07-12,184.8600,187.5000,180.1400,184.4000,4407673,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-07-15,202.8400,202.8400,198.0000,202.8400,3486170,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-07-16,213.0900,223.1200,209.0000,223.1200,3511858,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-07-17,227.5800,239.0000,215.2500,217.2000,7305301,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-07-18,218.0000,221.8000,210.1100,215.3500,5273356,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-07-19,215.3500,216.8800,205.0100,206.0500,5185652,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-07-22,211.0000,216.5800,203.0000,208.7500,5532280,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-07-23,204.2100,228.9900,204.1100,224.0300,4711614,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-07-24,224.0300,246.4300,224.0300,244.3000,5017896,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-07-25,242.0000,246.0000,225.5500,231.0000,4504140,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-07-26,229.0000,233.3000,224.6000,233.0000,2624917,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-07-29,231.5000,240.2000,226.3100,231.9600,2863722,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-07-30,230.0000,235.0000,225.0100,230.9500,2131011,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-07-31,230.5000,244.8000,228.0000,242.5000,3895526,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
