time,open,high,low,close,volume,note
2020-09-28,320.0000,366.2000,311.0000,340.1000,17938997,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2020-09-29,350.1100,354.0000,333.3300,342.4000,6085674,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2020-09-30,333.0000,345.5000,326.8100,330.2400,3331983,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2020-10-09,331.0000,361.8800,331.0000,358.0000,3924558,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2020-10-12,356.9800,380.0200,355.0000,378.9000,3246109,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2020-10-13,378.0000,442.7900,370.2100,401.2000,3240182,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2020-10-14,393.2200,465.0000,393.0000,454.0000,2542849,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2020-10-15,444.0000,451.0000,420.1200,432.0400,2103149,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2020-10-16,427.6000,447.7400,406.1100,428.5000,1785449,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2020-10-19,432.0000,450.8000,421.0000,433.0000,1545132,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2020-10-20,433.0000,433.0000,414.2000,429.0000,1293961,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2020-10-21,431.9000,454.9900,428.0000,444.6900,1490670,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2020-10-22,437.6000,453.5000,426.8800,441.0000,908348,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2020-10-23,441.0000,441.7800,408.0600,415.0000,1465139,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2020-10-26,410.1100,474.8800,410.0000,455.0000,1976005,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2020-10-27,451.0100,491.0000,446.0100,490.0800,1520382,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2020-10-28,483.0100,495.4100,469.7000,471.4100,1646427,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2020-10-29,466.0000,500.3000,466.0000,494.1500,1586244,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2020-10-30,493.0000,506.0000,480.2000,481.9900,1109920,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2020-11-02,483.0500,510.0000,471.1200,509.9000,1336278,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2020-11-03,516.0000,577.4900,507.1900,547.0800,1646051,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2020-11-04,547.9100,560.8000,527.0000,551.0000,1553116,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2020-11-05,551.0000,560.0000,537.0000,548.4000,1167098,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2020-11-06,545.2100,547.0000,512.2000,535.0000,1632925,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2020-11-09,531.1100,574.0000,522.2600,551.8100,1578729,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2020-11-10,545.0000,554.9900,523.0000,548.0000,1173820,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2020-11-11,540.0000,582.0000,526.6600,529.0800,1690078,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2020-11-12,533.0200,560.0000,521.0100,555.5400,1447105,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2020-11-13,555.7000,568.0000,543.3600,566.9000,1029265,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
