time,open,high,low,close,volume,note
2022-03-15,59.0000,71.6500,58.0800,60.6000,25005046,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2022-03-16,63.0000,73.1900,61.6800,70.4900,25720676,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2022-03-17,70.0000,70.0000,63.9400,64.0500,21524074,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2022-03-18,62.0200,65.6500,59.6900,63.7700,14990013,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2022-03-21,64.0000,64.6800,61.6800,62.3000,10214048,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2022-03-22,61.6300,63.1800,59.9000,59.9000,9690941,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2022-03-23,60.1500,60.5800,58.6000,58.7000,7756786,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2022-03-24,58.5600,58.7000,56.6400,56.6400,7280279,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2022-03-25,56.8400,57.8300,56.4000,56.6000,5433982,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2022-03-28,57.3200,60.9100,56.6100,58.7200,11760503,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2022-03-29,57.6500,57.6500,54.8300,54.9100,9570794,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2022-03-30,55.0600,55.3800,53.7700,55.0800,4910107,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2022-03-31,54.3600,55.0800,54.0700,54.2200,3794643,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2022-04-01,54.0900,55.0400,53.9200,54.5000,3594465,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2022-04-06,54.1700,55.0900,53.8800,54.4400,3174371,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2022-04-07,54.4300,54.4300,51.7100,51.9000,5513470,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2022-04-08,51.8000,52.0000,49.3600,49.4400,4944711,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2022-04-11,49.0000,49.0000,45.9000,46.0500,4870202,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2022-04-12,46.4100,46.8800,45.7500,46.6200,2721332,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2022-04-13,46.6000,48.3400,46.3100,46.5900,3833454,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2022-04-14,46.9300,47.2200,45.9000,46.8000,3174439,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2022-04-15,46.5000,46.5000,44.0200,44.3800,3908079,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2022-04-18,43.8800,45.1600,43.4100,44.8800,2347005,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2022-04-19,44.8200,47.1200,44.7000,45.8700,4025602,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2022-04-20,46.5000,47.1800,45.8100,45.8100,3767817,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2022-04-21,45.0100,46.2000,43.8100,43.9700,3276309,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2022-04-22,43.6300,46.2500,43.6000,45.7000,3870120,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2022-04-25,44.8300,45.8000,42.7200,42.9000,3663999,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2022-04-26,43.5500,44.2000,39.7600,40.0200,4526329,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2022-04-27,39.2000,41.3000,39.1300,41.0800,3342624,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2022-04-28,40.5900,40.9700,39.2000,39.8000,2940521,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2022-04-29,40.4200,42.5500,40.3800,42.1500,3220472,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2022-05-05,41.9000,43.2800,41.5000,42.4600,2841660,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2022-05-06,41.5000,47.6400,41.2000,44.9300,6693813,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2022-05-09,45.1600,46.5000,44.2500,45.3100,3648345,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2022-05-10,44.3200,46.1400,44.3000,45.5800,3004002,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2022-05-11,45.5000,46.5700,44.8000,44.8000,3791326,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
