time,open,high,low,close,volume,note
2022-08-05,98.0000,117.9500,81.1800,99.0000,26263806,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2022-08-08,90.2300,91.2100,83.3300,84.5500,16957541,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2022-08-09,83.0000,91.2400,82.5000,91.2400,16200969,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2022-08-10,88.6400,97.7400,86.0600,89.0200,15630798,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2022-08-11,90.4200,102.4000,90.4200,102.0000,17536837,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2022-08-12,104.0000,104.0000,90.3000,90.4000,15242773,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2022-08-15,88.0000,92.9000,87.1100,87.5000,9035231,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2022-08-16,86.8800,88.2600,84.4800,85.6000,7408002,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2022-08-17,86.5000,89.8800,84.4100,89.1000,7961661,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2022-08-18,87.0000,88.7800,85.1800,86.2100,6854058,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2022-08-19,86.3800,89.0000,81.8600,81.9800,7583755,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2022-08-22,80.0000,80.8000,73.0000,75.9300,8537483,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2022-08-23,74.9900,76.2800,73.4000,73.4900,5163301,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2022-08-24,73.2000,74.3900,68.3000,69.1200,6415886,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2022-08-25,69.2100,72.4800,67.7600,70.1200,5966454,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2022-08-26,70.0000,70.0000,65.4800,65.4800,5803727,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2022-08-29,63.6300,67.3000,63.0000,65.7000,3307535,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2022-08-30,65.5700,68.3600,65.5700,66.0700,3687331,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2022-08-31,66.0000,68.1900,65.1900,66.1600,4806682,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2022-09-01,66.9900,68.1600,64.8000,64.8700,3635149,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2022-09-02,64.8700,69.9100,63.6300,69.2000,6254406,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2022-09-05,67.8700,67.9000,66.0600,66.8000,4226424,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2022-09-06,67.3800,67.6000,66.0100,67.0200,2903435,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2022-09-07,67.0500,69.5000,66.7000,67.5000,4350111,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2022-09-08,66.6000,67.2700,64.2100,64.2300,4066850,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2022-09-09,63.3900,63.4000,59.5000,61.4900,4552798,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2022-09-13,61.7000,63.4700,61.2600,61.5200,2767217,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2022-09-14,59.6600,63.2400,59.0000,62.8200,3290519,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2022-09-15,62.6100,62.9900,59.7600,60.5500,3141390,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2022-09-16,60.0200,61.8700,60.0100,60.3900,2452520,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2022-09-19,60.3000,62.1500,58.3100,58.4100,2953870,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2022-09-20,59.0000,59.8000,58.2000,59.4300,2355617,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2022-09-21,59.8800,61.7500,59.8800,60.8700,3539783,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
